en,fa
faces,رخساره
facetiae,هزلیات
facetious,شوخی آمیز
facial,صورتی
facial wrinkle,چین صورت
facile,سهل الحصول
facileness,راحتی
facilitate,تمهید کردن
facilitation,تسهیل
facilities,تسهیلات
facinate,افسونکردن
facing,روب رو
faconry,بازداری
fact,واقعیت
factitious,وانمود کننده
factor,عامل
factorial,فاکتوریل
factoring,فالگیری
factorization,فاکتور گیری
factors,عوامل
factory,کارخانه
factory owner,کارخانه چی
facts,مطالب
facture,صورت حساب
faculty,استداد فکری
faculty of speech,گویائی
fade,به تدریجا محو شدن
faded,خزانهدیده
fading,محو شدگی
Fadra,فدرا
faerie,جن وپری
Faezeh,فائزه
fag,از پا در آوردن
fagend,سرپارچه
faggot,بهم بستن
fagot,بهم بستن
Fahim,فهیم
Fahime Khan,فهیم خان
Fahimeh,فهیمه
Fahrenheit,فارنهایت
Fahrenheit scale,مقیاس فارنهایت
fail,شکست خوردن
failed,نافرجام
failure,عدم موفقیت
failure rate,میزان خرابی
faint,از پا افتادن
fainter,غشی
fainting,بی هوشی
faintness,بی حالی
fair,بازار مکاره
fair distribution,تقسیم منصفانه
fair player,پاک باز
fair sex,جنس لطیف
fair trade,کسب منصفانه
fairness,حق بینی
fairy,پری
fairy faced,پریرو
fairy girl,پریدخت
fairy ring,قارچ حلقوی
fairy-born,پریزاد
faith,اعتقاد
faithful,عقیده مند
faithfulness,وفاداری
faithless,بی اعتقاد
faithlessness,بی ایمانی
faiths,شرایع
faitour,گول زن
Fajirah,فجیره
fake,غیرواقعی
fake adultrated,جا زده
faker,جازن
Fakhreddin,فخرالدین
Fakhri,فخری
Fakhrossadat,فخرالسادات
falcate,هلال ماه
falchion,شمشیر منحنی
falcon,شاهین
falconer,بازبان
faldstool,صندلی راحتی
fall,سقوط
fall asleep,خواب بردن
fall back,وا افتادن
fall behind,عقب افتادن
fall down,به زمین خوردن
fall guy,زود باور
fall in love,دل از دست دادن
fall in love with,عارض شدن
fall into abeyance,مسکوت ماندن
fall into delay,به تعویق افتادن
fall off,ور آمدن
fall out,بیرون افتادن
fall sick,بیمار شدن
fall unconscious,بی هوش شدن
fall victim to fire,طعمه آتش شدن
fallacious,سفسطه آمیز
fallacy,استدلال غلط
fallen,افتاده
fallible,جایزالخطا
falling,افتان
falling star,تیر شهاب
falloff,متوجه بودن
fallow,بایر گذاشته
Fallujah,فلوجه
false documents,مدارک جعلی
false labor pain,ماه درد
falsehood,ناراستی
falsely,کاذبانه
falsified,مغشوش
falsify accounts,حساب سازی کردن
fame,اسم و رسم
fameless,نامعروف
familial,فامیلی
familiar,خانه خواه
familiar talk,اختلاط
familiarity,آشنایی
familiarize,خودمانی شدن
family,خوانواده
family man,عیال مند
family name,نام خانوادگی
family relations,ارتباط خانوادگی
family tree,نسب نامه
famine,قحط وغلا
famish,گرسنگی کشیدن
famous,بلند آوازه
famous people,مشاهیر
famous persons,معاریف
fan,باد زدن
fan in,گنجایش ورودی
fan out,گنجایش خروجی
fanatic,متعصب یاهواخواه
fanatical,پرتعصب
fanaticism,کوته فکری
fan-belt,تسمه پروانه
fancier,خیال باز
fanciful,پر اوهام
fancy,قوه مخیله
fancywork,برودره دوزی
fang,نیش
fantail,کبوتر چتری
fantast,نویسنده خیالپرست
fantasy,نقشه خیالی
far,دور
Far East,آسیای شرقی
far from,به دور از
far off,خیلی دور
Farad,فاراد
faradic,القا شده
Farah,فرح
Farahnaz,فرحناز
Farahvash,فرحوش
Farajollah,فرجالله
Faramarz,فرامرز
Faranak,فرانک
Farangis,فرنگیس
Faraz,فراز
Farbod,فربد
farce,کار بیهوده
farci,به زورچپانده
farcical,مسخره آمیز
farcie,به زورچپانده
Fard,فرد
Fardad,فرداد
fardel,کوله بار
Fardin,فردین
fare,مسافر کرایه ای
farewell,وداع نامه
farfetched,شبیه بعید
Farhad,فرهاد
Farhang,فرهنگ
Fariba,فریبا
Fariborz,فریبرز
Farid,فرید
Farida,فریدا
Farideh,فریده
Faridoddin,فریدالدین
Farifteh,فریفته
Farimah,فریماه
Farinaz,فریناز
Farjad,فرجاد
Farkhondeh,فرخنده
farm,مزرعه
farmer,زراعت کار
farmerette,زن زارع
farmers,دهاقین
farmhouse,خانه رعیتی
farming,کشت و زرع
farms,مزارع
farmstead,علاقجات رعیتی
Farnaz,فرناز
Farnush,فرنوش
far-reaching,دوررس
farrier,نعلبند
Farrin,فرین
Farrokh,فرخ
Farrokhzad,فرخزاد
farrow,زایمان خوک
Fars,فارس
Farse,پارس
farseeing,عاقبت اندیش
Farshad,فرشاد
Farshid,فرشید
farsighted,انسان دوربین
farsightedness,دور اندیشی
fart,تیز دادن
Fartash,فرتاش
farther,جلوتر
farthermost,اقصی نقطه
farthest,اقصی نقطه
farthest end,منتهی الیه
farthing,فارثینگ
Farug,فروغ
Faruk Al-Shara,فاروق الشرع
Farvardin,فروردین
Farzad,فرزاد
Farzam,فرزام
Farzan,فرزان
Farzaneh,فرزانه
Farzin,فرزین
Fas,فاس
fascinate,مسحور کردن
fascinated,مفتون
fascination,فریبندگی
fascist,فاشیست
fashion,مدی
fashion designer,مدساز
fashionabl,مدروز
fashionable,شیک
fashionableness,شیکی
Fast,سریع
fast worker,تند کار
fast-and-loose,ازروی بیباکی
fasten,محکم کردن
fastener,بند زن
fastening,یراق در
fastidious,مشکل پسند
fastidiously,باریک بینی
fastigiate,بشکل مخروط
fasting,روزه دار
fastiousness,مشکل پسندی
fastness,استواری
fat,چاق و چله
fat free,بی چربی
fatal,مصیبت آمیز
fatality,تلفات
Fataneh,فتانه
fate,نصیبب وقسمت
Fatemeh,فاطمه
Fatemeh Beygom,فاطمهبیگم
Fatemeh Khatun,فاطمهخاتون
fates,تقادیر
Father,پدر
father in law,پدر زن
fatherhood,پدری
father-in-law,پدر شوهر
fatherless,بی پدر
fatherly,پدروار
fathers,آباء
Fathollah,فتحالله
fathometer,سوند صوتی
fatigue,فرسودگی
fatness,فربهی
fatten,پرواری کردن
fattened,پرواری
fatty,چربی مانند
faucet,شیر بشکه
fault,تقصیر
fault analysis,عیب کاوی
fault finder,خرده گیر
fault finding,خرده بینی
faultfinder,نکته گیر
fault-finder,عیبجو
faultfinding,نکته گیری
faultless,بی نقص
faultlessness,بی نقصی
faults,عیوب
faulty,عیبناک
fauna,جان داران
fauna directory,جانور نامه
favor,عنایت کردن
favorable,مساعد
favorable answer,جواب مساعد
favorable mention,ذکر خیر
favored,نظر کرده
favorite,مورد علاقه
favoritism,پارتی بازی
favors,مراحم
favour,التفات
favourable,موافق
favours,الطاف
Fawcett,فاست
fawn,اظهار دوستی کردن
fawning,دم لابه
Fayed,فاید
faze,درهم ریختن
Fazlollah,فضلالله
feal,نمک شناس
fealty,وظیفه شناسی
fear,پروا داشتن
fear of God,خدا ترسی
fear-arousing,ترس برانگیز
fearful,بیمناک بودن
fearless,بی واهمه
fearlessly,بی باکانه
fearlessness,بی باکی
feasibility,شدنی بودن
feasibilty,عملی بودن
feasible,صورت پذیر
feast,سور زدن
feat,فتح نمایان
feather,با پر پوشاندن
featheredge,کناره تیز
feathers,پروبال
featherweight,پروزن
feathery,شبیه به پر
feature,خصیصه
febrifugal,ضد تب
February,فوریه
feca,برازی
fecal matter,پیخال
feces,غایط
feculent,مثل مدفوع
fecund,پراثر
fed up,سیر و بیزار
Fedayeen,فدائین
federal,اتحادی
federalism,فدرالیسم
federate,متعهد کرد
federation,فدراسیون
fee,پردازانه
feeble,کم زور
feeble -minded,کوته فکر
feeble -mindedness,کوته فکری
feebleminded,کم عقل
feebleness,شلی
feeblish,ضعیف نما
feed,تغذیه کردن
feed bag,توبره
feed on,خوراک کردن
feedback,پس خوراند
feeder,خوراک دهنده
feeding,اطعام
feel,احساس کردن
feel homesick,دلتنگی کردن
feel indignant,غیظ کردن
feel pity,رقت آوردن
feel sorry,متالم شدن
feeling,در رفتن
feeling of joy,احساس شعف
feelings,عواطف
fees,حقالزحمه
feet,فوت
feign ignorance,تجاهل کردن
feign righteousness,جانماز آب کشیدن
feigned sleep,خواب خرگوشی
feigning illness,تمارض
feint,نمایش دروغی
felicific,لذت بخش
felid,گربه مانند
feline,گربه صفت
fellow,همتا
fellow believer,هم مسلک
fellow citizen,هموطن
fellow resident,همشهری
fellow soldier,خیلتاش
fellowship,هم صحبتی
felon,جنایت کار
felonious,بزهکارانه
felony,تبهکاری
felt,احساس کردن
felt maker,نمدمال
felt making,نمد مالی
felting,نمد مالی
female,اناثی
female animal,لاس
female connector,اتصال ماده
female demon,عفریته
female donkey,ماچه خر
female friend,رفیقه
female pimp,زنجاکش
female secretary,منشی زن
female servant,باجی
female slave,کنیز
female teacher,آموزگار زن
females,اناث
femicide,زنکشی
feminine,زن صفت
femininity,زنانگی
feminism,طرفداری اززنان
feminize,زن صفت کردن
femme fatale,زن فریبنده
femoral,رانی
femur,استخوان ران
fen,زمین آبگیر
fence,شمشیر بازی کردن
fence off,حصار کشیدن
fencer,شمشیر زن
fencible,قابل دفاع
fencing,شمشیر بازی
fender,ضربت گیر
fenestration,پنجره بندی
fennel,رازیانه
fenny,لجن زار
fenugreek,شنبلیله
feoffee,گیرنده تیول
feral,کفن ودفنی
Ferdows,فردوس
Fereshteh,فرشته
Fereydun,فریدون
Ferhad,فرهاد
ferine,غیراهلی
ferment,ماده تخمیر
fermentation,تخمیر
fermentative,تخمیری
fermented,مخمر
fern,سرخس
ferny,سرخس دار
ferocious,سبع
ferocity,وحشی گری
ferris wheel,چرخ فلک
ferromagnetic,فرومغناطیسی
ferrous,آهن خیز
ferrule,بست فلزی زدن
ferry,گذر دادن
fertile,حاصلخیز
fertility,حاصلخیزی
fertilization,لقاح
fertilize,کودگیاهی دادن
fertilizer,آبستن کننده
feruling,تنبیه باچوب
fervent,پرشور وشعف
fervent prayer,مناجات
fervor,اشتیاق شدید
festal,جشنی
festival,جشنواره
festive,بزمی
festivities,اعیاد
festivity,جشن و سرور
festoon,گلا آذین
fetch,وا کشیدن
fetching,واکشی
feticide,کشتن جنین
fetid,گند دهان
fetlock,موی تپق
Fetr,فطر
fetter,پا بند
fetters,پابند
fettle,نظم وترتیب
feudal,ملوک الطوایفی
feudalism,ملوک الطوایفی
feudality,تیول
feudist,متحد دشمن
fever,تب دار کردن
fever alleviation,بریدن تب
fever and chill,تب و لرز
fever medicine,تب بر
feverish,تب دار
feverous,درحال تب
few,چند تا
fez,فس
fiance,نامزد
fiasco,ناکامی
fiber,الیاف پارچه
fiberboard,ورقه فیبر
fiberglass,پشم شیشه
fiberize,فیبر کردن
fibre,لیف الیاف
fibril,تارچه
fibrous,لیفی
fibster,چاپ زن
fickle,بی وفا
fictile,ظرف سفالی
fictitious,مستعار
fiddle,کار بیهوده کردن
fiddleback,شبیه کمانچه
fiddlestick,آرشه ویولون
Fidel Castro,فیدل کاسترو
fidget,ناراحت بودن
fidgetiness,لول خوری
fief,تیول
field,مزرعه
field keeper,دشتبان
field of study,رشته
fieldcorn,موقع جولان
fielder,صحرا نورد
fierce,درندگی
fierce nature,درنده خویی
fiery,آتشی مزاج
fife,نی لبک
fifteen,پانزده
fifth,خامس
fifthly,خامسا
fiftieth,یک پنجاهم
fifty,خمسین
fifty / fifty,بالمناسفه
fifty fifty,بالمناصفه
fig,لاپوش
fig leaf,مخفی کننده
figer wave,فرانگشتی
fight,به زد و خورد پرداختن
fighter,جنگ کننده
fighter jet,هواپیمای شکاری
fighting,کتک کاری
fightless,بی محاربه
figment,سخن جعلی
figural,بطور تشبیه
figurative,تلویحی
figuratively,مجازاً
figure,استایل بدنی
figure list,جدول ارقام
figure punch,عددکوب
figures,اعداد
Fila,فیلا
filature,ابریشم پیچی
file,بایگانی کردن
file a complaint,شکایت بردن
file-keeper,بایگان
filer,سوهان کار
files,بایگانی
filet,مازو بریدن
filial,درخورفرزند
filiation,فرزندی
filicide,فرزند کش
filiform,نخ مانند
filigree,ملیله دوزی کردن
filing,سوهان کاری
Filipino,فیلیپینی
fill,پر کردن
fill a prescription,نسخه پیچیدن
fill an application,درخاست پر کردن
fill up,اشباع کردن
filled,انباشته
filler,پر کننده
fillet,مازو بریدن
filling,پرکننده
fillip,تلنگر زدن
fillister,کنش کاو
filly,کره مادیان
film,فیلمبرداری کردن
film maker,فیلم ساز
film making,فیلم سازی
film recorder,فیلم نگار
film taking,فیلم برداری
filmdom,جهان سینما
filming,فیلم برداری
filmstrip,نوار فیلم
filmy,فیلم مانند
filose,نخ نخ
filter,پالاینده
filter bed,صافی شنی
filter cigarette,سیگار مشتوکدار
filterable,صافی کردنی
filtered,صاف کرده
filtering,فیلتری
filth,رجاست
filthy,کثیف
filtrable,صافی کردنی
filtration,پالایش
fimbrial,شرابه دار
fimbriate,شرابه دار
fin,بال ماهی
finagle,باحیله بدست آوردن
final,پایان – فاینال
final game,مسابقه نهایی
finalist,پایان رس
finality,حتمیت
finalization,انجام رسانی
finalize,بهانجام رسانیدن
finally,در خاتمه
finance,سرمایهتهیه کردن
financial,مالی
financial ability,بضاعت
financial aid,کمک مالی
financial representative,مامورمالی
financial responsibility,ابولب جمعی
financier,سرمایه گذار
Find,پیدا کردن
find a cure,چاره اندیشیدن
find an opportunity,مجال پیدا کردن
find customer,خریدار پیدا کردن
find fault,عیبجوئی کردن
find guilty,مجرم شناختن
find opportunity,مجال کردن
find out,اطلاع یافتن
find solution,یافتندرمان
find youth again,جوانی را باز یافتن
finder,یابنده
finding,یابش
fine,خوب
fine linen,قصب
fine silk,دیبا
fineness,لطایف
fines,جرائم
finespun,نازک رشته
finesse,زیرکی بکار بردن
fine-woven,ریزبافت
finger,میله برآمدگی
finger joint,بندانگشت
finger tip,سر انگشت
fingerboard,جا انگشتی
fingerpost,تیر راهنما
fingerprint,انگشت نگاری کردن
fingerprinting,انگشت نگاری
fingertip,سرانگشت
finickiness,وسواس داشتن
finicky,وسواسی
finish,تمام
finished,پایان یافته
finishing,پایان دهی
finishing the job,یکسره کردن کار
finite,متناهی
finiteness,تناهی
finitude,پایان پذیری
fink,اعتصاب شکن
Finland,فنلاند
fire,آتش
fire bullets,تیر اندازی کردن
fire department,اداره آتش نشانی
fire eater,شعبده باز
fire extinction,خفگی آتش
fire extinguishing,اطفاء حریق
fire guard,آتشبان
fire off,در کردن
fire protection,استحکامات تدافعی
fire station,اطفائیه حریق
fire temple,آتشخانه
fire worshipper,آتش پرست
firearm,اسلحه گرم
fireball,گلوله انفجاری
firebox,آتشدان
firebrand,آتش پاره
fireclay,گل آتشخوار
firecracker,طرقه
firedamp,گاز متان
firefighter,آتشنشان
firefly,کرم شب افروز
fireman,سوخت انداز
fireproof,نسوز کردن
fire-pump,تلمبه آتش نشانی
fires,شرر
fireside,زندگی خانگی
firewood,هیزم
fireworks,آتش بازی
firing,شلیک
firm,موسسه بازرگانی
firm up,استوار کردن
firmament,گنبد آسمان
firmly,محکم
firmness,استحکام
firry,صنوبردار
First,اول
first cause,علت اولیه
first class,درجهاول
first gear,دنده یک
first lieutenant,ناوبان یکم
first of all,اولاً
first rate,درجه اول
first string,درجه یک
firstborn,فرزند ارشد
firsthand,دست اول
firstly,درمرحله اول
Firuz,فیروز
Firuzeh,فیروزه
fiscal,محاسباتی
fiscal year,سال محاسباتی
fish,ماهی
fish line,ریسمان ماهی گیری
fish selling,ماهی فروش
fish spawn,ماهی زاد
fish-eating,ماهیخوار
fisherman,صیاد ماهی
fishery,محل ماهی گیری
fish-glue,سریشمماهی
fishhook,قلاب ماهی گیری
fish-hook,شست
fishing,صید ماهی
fishing line,زه قلاب
fishing net,طور ماهی گیری
fishmonger,ماهی فروش
fish-net,شست
fishpound,سد ماهی گیری
fishwife,زن سلیطه
fishy,ماهی مانند
fissile,شکافتنی
fissility,قابلیت انشقاق
fission,شکافت
fission bomb,بمب هستهای
fissionable,شکافت پذیر
fissiparous,شکاف خورنده
fissiped,سم شکافتگان
fissure,شکافدار کردن
fist,بامشت گرفتن
fisticuffs,مشتبازی
fistula,نواسیر
fit,تناسب داشتن
fit for travelling,مسافری
fitch,ضربان
fitful,هوس پرست
fitness,مناسبت
fitting,سوار کنی
fitting shop,کارگاه مونتاژ
five,پنج
five grams,مثقال
five hundred,پانصد
five senses,حواس پنجگانه
fivefold,مخمس
five-fold,پنج گانه
five-leaved,پنج برگ
five-pointed,پنج پر
five-stringed,پنج سیمه
fix,پابرجا کردن
fixable,محکم کردنی
fixation,عشق زیاد
fixed,لایتغیر
fixed stars,ثوابت
fixed to the wall,دیوار کوب
fixer,کارچاق کن
fixity,استواری
fizz,گاز مشروبات
fizzle,کوشش مذبوحانه
flabby,لس
flabby person,پهلوان پنبه
flabellum,عضو بادبزنی
flaccid,چروک شده
flactuation,تموج
flag,بیرق
flagellate,تاژک دار شدن
flagellum,تاژک
flageolet,نایچه
flaggy,جگن زار
flagman,پرچمدار
flagpole,میله پرچم
flagship,کشتی دریادار
flagstone,سنگ فرش کردن
flail,خرمن کوب
flake,پوسته
flaky,ورقه شونده
flam,لاف وگزاف
flambeau,شمعدان زینتی
flamboyance,زرق وبرق
flamboyancy,زرق وبرق
flamboyant,شعله مانند
flame,زبانه کشیدن
flameproof,عایق شعله
flaming,شعلهور
flamingo,فلامینگو
flammable,قابل سوختن
flank,درکنار واقع شدن
flannelette,فلانل نما
flannelly,فلانل مانند
flap,آویخته وشل
flapper,جوجه اردک
flappy,آویزان وگشاد
flare,باشعله نامنظمسوختن
flare up,غضب ناگهانی
flash,تلالو
flashlight,لامپ عکاسی
flashy,زرق وبرقی
flask,بغلی
flat,پنچر
flat area,زمینمسطح
flat cable,کابل پهن
flat joke,شوخی خنک
flat nose,دماغ پهن
flat nosed,دماغ پهن
flat tire,پنچری
flatfoot,عزم ثابت
flathead,ماهی سرپهن
flatten,بیمزه کردن
flatter,زبان بازی کردن
flatter oneself,دل خوش کردن
flatterer,اهل تملق
flattering,تملق آمیز
flatteringly,بطرز چاپلوسانه
flatterous courtesy,مجاملت
flattery,شیره مالی
flattop,سرپخ
flatulence,نفخ شکم
flatulent,نفخ دار
flatus,گاز شکم
flaunt,جولان دادن
flaunty,پزده
flautist,فلوت زن
flavor,مزه دار کردن
flavorful,خوش رایحه
flavorless,بی طعم
flavour,مزه وبو
flaw,عیب دار کردن
flawless,بی نقص
flawlessness,بی عیبی
flawy,مودار
flax,بزرک
flaxen,کتانی رنگ
flaxseed,بذرکتان
flay,سخت انتقاد کردن
flayer,پوست کن
flea,شبگز
flea market,سمساری
fleabite,نیش کک
flea-bitten,مگسی
fleam,نشتر
fleck,رگه رگه کردن
fledge,پر و بال درآوردن
flee,پا به فرار گذاردن
fleece,سر و کیسه کردن
fleecer,گوش بر
fleecing,گوش بری
fleecy,مثل پشم
fleeing,گریزنده
fleet,عبور سریع
fleeting,تندپا
flege,مستعد پرواز
flemish,زبان فلاندرز
flesh,مغز میوه
fleshy,بی استخوان
fletcher,تیر ساز
flex,منقبض کردن
flexibility,انحناء پذیری
flexible,قابل انحناء
flick,تلنگر
flicker,سوسو زدن
flickering,سوسوزن
flier,فرمان هواپیما
flight,طیران
flight attendant,میهماندار
flight control,کنترل هواپیما
flight engineer,مهندس پرواز
flight schedule,برنامه پرواز
flight test,آزمایش پرواز کردن
flighty,متلون المزاج
flimsy,بی دوام
flinch,بخود پیچیدن
flinders,قطعات شکسته
fling,جفتک پرانی
flint,سنگ فندک
flint glass,ظرف بلور
flip flop,چرخ فلک
flippancy,چرب زبانی
flippant,جلف
flipper,باله شنا
flirt,عشوه گری کردن
flirtatious,لوند
flirting,عشوهگری
flit,تند رفتن
flivver,ناکامل وشکست
flly,بیشعوری
float,غوطهورساختن
floating,غوطهورسازی
floatplane,هواپیمای آب
floccose,کاکل دار
flocculate,لخته شده
flocculence,قلنبه شدگی
flocculus,کلف خورشید
flock,رمه
flocks,اغنام
floded twice,دوتاه
flogger,زننده شلاق
flood,سیل گرفتن
flood victim,سیل زده
flooded,سیل زده
floodgate,دریچه سد
flooding,آبگرفتگی
floodlight,نورافکن
flood-like,سیل آسا
floodwater,سیلاب
floodway,مسیل
floor,اشکوب
floor lamp,چراغ پایهدار
floorage,فضای صحن
floorboard,کف تخته ای
floor-cloth,مشمع
flooring,کف سازی
floozy,زن سبکسر
flop,باصدای تلپ افتادن
flopper,افتنده
floppy,مسخره وار
flora,الهه گل
floral,گلدار
Florence,فلورانس
florescent,گل دار
floriculture,گل پروری
floriculturist,گل پرور
florid,سلیس وشیوا
Florida,فلوریدا
floridity,پرگل بودن
florist,گل پرور
floss,نخاله ابریشم
flounce,جست وخیرز
flour,آرد کردن
flourish,نشو و نما کردن
flourishing,آبادان
flourishing business,کسب با رونق
flourishing condition,آبادی
flow,جریان داشتن
flowable,جاری شونده
flowchapt,روندنما
flowchart,نمودارگردشی
flower,گل
flower bouquet,دسته گل
flower garden,گلستان
flower picker,گلچین
flower wreath,تاج گل
flower-bed,باغچه
flowerful,پر گل
flowering,شکفتگی
flowerpot,گلدان
flowers,ریاحین
flowing,ساری
flu,آنفلوانزا
flubdub,فریب و اغوا
fluctuant,نوسانی
fluctuate,نوسان داشتن
fluctuating,مواج
fluctuation,نوسان
flue,لوله بخار
fluency,انسجام
fluent,روان
fluff,کرکدار شدن
fluffy,پرزدار
fluid,نرم وآبکی
fluidity,طلاقت لسان
fluids,مایعات
fluke,اصابت اتفاقی
flume,جوی آسیاب
flummery,سخن پوچ
flung,پرت
flunk,موجب شکست شدن
flunk out,رفوزه شدن
flunkey,مامور جزء
flunky,مامور جزء
fluor,قاعدگی زنان
fluorescent,لامپ مهتابی
fluorescent light,چراق ماهتابی
flurry,طوفان ناگهانی
flush,آبریز
fluster,سراسیمه کردن
flute,فلوت زدن
flute grafting,پیوند لوله ای
fluting,آرایش شیاری
flutist,نی زن
fluttering,اهتزاز
fluttery,پرپرزنی
fluty,نی مانند
fluvial,نهری
fluviatile,نهری
flux,سیلان
fly,پرواز
fly eater,مگس خوار
fly off,به پرواز درآمدن
fly paper,کاغذ مگس کش
fly sheet,اعلانات دستی
fly whisk,مگس پران
flycatcher,مگس گیر
flying,پرواز کننده
flying bridge,پل شناور
flying colors,موفقیت قطعی
flying fish,ماهی پرنده
flying saucer,بشقاب پرنده
fly-like,مگسی
flyweight,مگس وزن
flywheel,چرخ طیار
foal,خرک
foam,کف بدهان آوردن
foam rubber,ابرلاستیکی
fob,زنجیر ساعت
focal point,کانون
focus,معطوف داشتن
focused on,معطوف
fodder,علوفه
foe,عدو
fog,مه گرفتن
fogbound,گرفتار مه
foggy,تیره وتار
foghorn,آژیر مه
foible,صعف اخلاقی
foil,عقیم گذاردن
Fojan,فوجان
fold,دولاکردن
foldaway,کوچک شونده
folded,چین چین
folder,شومیز
folderol,غیر لازم
folding,تاشو
folding screen,پاراون
foliage,شاخ و برگ
foliar,برگی
foliate,ورقه ورقه شدن
foliated,ورقه شده
foliation,برگ سازی
folium,طبقه نازک
folk,قوم وخویش
folkway,احساسات عمومی
follicle,برگه
Follow,دنبال کردن
follow up,پی گیری کردن
follower,دنباله رو
followers,اصحاب
following,به دنبال
follow-up,عقبه
follwer,مقلد
folly,نابخردی
fomative,سرشت گر
fomentation,تکمید
fond,انس گرفته
fond of,موله
fondle,ناز و نیاز کردن
fondling,نوازش
fondness,خاتر خواهی
food,غذا
food articles,مواد غذایی
food poisoning,مسمومیت غذایی
food supply,آذوقه رسانی
food tide,طغیان آب
foodless,بی غذا
foods,اغذیه
foodstuff,خواربار
foodstuffs,موادغذایی
foofaraw,نق نق
fool,آدم احمق
fool s dream,خواب خرگوشی
foolish,سفاهت آمیز
foolishly,احمقانه
foolishly proud,مدمغ
foolishly religious,خرمقدس
foolishness,بی خردی
fools,حمقاء
foot,پا
foot soldier,سرباز پیاده
footache,پادرد
foot-article,پاورقی
football,توپ فوتبال
football coach,مربی فوتبآال
footbath,پاشویه
footboard,پایه تختخواب
footboy,پادو
footcloth,پای انداز
footer,گام زن
foothill,دامنه
foothold,جای ثابت
footing,جای پا
footless,بی پا
footlight,چراق پایین اتومبیل
footman,شاطر
footmark,ردپا
footnote,زیرنویسی کردن
footnoting,زیرنویسی
footpace,پاگردپله ها
footpad,پای جانور
footpath,خرند
footprint,جای پا
footprints,ردپا
footslog,پا کوفتن
footstalk,برگدم
footstep,گام برداری
footstone,سنگ بنا
footstool,زیرپایی
footwear,پای افزار
footwork,پادوی
foozle,ضربت نادرست
fop,کج کلاه
foppery,کارهای جلف
foppishness,خودسازی
foppy,خودساز
For,برای
for a long time,مدتها
for a while,چندی
for example,برای مثال
for free,مجانی
for God's sake,محضالله
for her,برایش
for him,برایش
for instance,از جمله این که
for it,برایش
for lease,استیجاری
for long time,مدتی
for more than,برای بیش از
for no reason,الکی
for rent,استیجاری
for sale,فروشی
for sell,فروشی
for some time,مدتی
for the reason of,بجهت
for the time being,علیالعجاله
for this purpose,بدین منظور
for what purpose,به چه مقصود
for what reason,از چه رو
for your sake,محض خاطر شما
forage,پی علف گشتن
foraminate,روزن دار
foraminifers,روزن داران
foray,تاخت وتاز کردن
forbear,شکسته نفسی کردن
forbearing,دیر غضب
forbid,ممنوع کردن
forbidden,امر ممنوعه
forbidding,نفرت انگیز
force,نیرو
force a laugh,بزور خندیدن
force out,بزور خارج کردن
forced,تحمیلی
forced labor,اعمال شاقه
forceful,اجبارا
forceps,انبر جراحی
forcepses,پنس
forces,قوا
forcible,عدوانی
forcibly,مجبوراً
ford,به گدار زدن
fordo,ویران ساختن
forearm,قبلا آماده کردن
forebearing,حلیم
forebode,تفال بد زدن
forecast,پیشگوئی کردن
foredknowlege,علم غیب
foredo,ویران ساختن
foredoom,محکومیت قبلی
forefathers,اجداد
forefeel,قبلا احساس کردن
forefinger,انگشت شهادت
forefoot,دست چارپایان
forefront,صف جلو
foregoning,مکور
foreground,پیشصحن
forehead,پیشانی
foreign,اازخارجه آمده
Foreign Affairs,امور خارجه
foreign currency,ارز خارجی
foreign exchange,اسعار
foreign exchange rate,نرخ اسعار خارجی
foreign made,ساخت خارجی
Foreign Minister,وزیر امور خارجه
Foreign Ministry,وزارت امور خارجه
foreigner,بیگانه
foreigners,خارجیان
foreignism,بیگانه پرستی
foreignness,بیگانگی
forelady,لیدرزن
foreleg,دست چارپایان
forelimb,باله جلو
forelock,موی پیشانی
foreman,سرکارگر
foremilk,شیرماک
foremost,دردرجه نخست
forename,نام نخست
forenoon,چاشتگاه
forensic,دادگاهی
forepart,قسمت جلو
forereach,بجلوتیراندازی کردن
forerunner,مژده دهنده
foreseeing,پیش اندیش
foreshorten,بهم فشردن
foresight,مال اندیشی
foresighted,عاقبتاندیش
foreskin,داء الحیح
forest,جنگل
forest preservation,حفظ جنگل
forest tree,درخت جنگلی
forestation,جنگل کاری
forested,پر درخت
forester,جنگل نشین
forestry,احداث جنگل
foretaste,آزمایش قبلی
foretell,ازپیش آگاهی دادن
foreteller,پیشگو
foretelling,پیشگوئی
forethought,مال اندیشی
foretoken,قبلا آگاهانیدن
foretop,موی پیشانی
forever,برای همیشه
forewarn,قبلا آگاهانیدن
forewarning,پیش آگهی
forewing,بال جلو
forfeit,ضبط شده
forge,کوره قالگری
forged,مجعول
forged signature,امضاء جعلی
forger,جعل کننده
forgery,امضاء سازی
forget,به فراموشی سپردن
forgetful,فراموشکار
forgetfulness,فراموشکاری
forgetting,فراموشی
forging,جعل سند
forgivable,بخشش پذیر
forgive,مغفرت کردن
forgiven,آمرزیده
forgiveness,بخشایندگی
forgiving,بخشایشگر
forgotten,از یاد رفته
fork,محل انشعاب
forky,چنگالی
forlorn,مهجور
Form, فرم
form a callus,پینه زدن
form an abscess,پیله کردن
form an impression,نقش بستن
form frightful,وهم کردن
formal,قرار دادی
formal logic,منطق رمزی
formalities,تشریفات
formality,رسمیت
formally,رسما
forman,سر کار گار
