en,es,de,fa,ar
"The website owner full name
",Nombre completo del propietario del sitio web,Vollständiger Name des Websiteinhabers,نام کامل صاحب وب سایت,الاسم الكامل لصاحب الموقع
Time of this Tool (m),Tiempo de herramienta (minutos),Werkzeugzeit (Minuten),زمان این ابزار (دقیقه),وقت الأداة (بالدقائق)
Time of this Vocation (m),Tiempo de misión (minutos),Missionszeit (Minuten),زمان این ماموریت (دقیقه),وقت المهمة (بالدقائق)
Time Of Used  M,Tiempo de uso en minutos,Nutzungszeit Minuten,زمان استفاده دقیقه,وقت الاستخدام بالدقائق
Time Of Works  M,Minutos de tiempo de trabajo,Arbeitszeit Minuten,زمان کار دقیقه,دقائق وقت العمل
Units Quality Control - GMS,Control de Calidad de Unidades - GMS,Qualitätskontrolle von Einheiten - GMS,کنترل کیفیت واحدها - GMS,مراقبة جودة الوحدات - GMS
Weight of damaged work (<0>)!,¡Peso de trabajo dañado (<0>)!,Beschädigtes Arbeitsgewicht (<0>)!,وزن کار آسیب دیده (<0>)!,وزن العمل التالف (<0>)!
Weight of this Tool (g),Peso de esta herramienta (gramos),Gewicht dieses Werkzeugs (Gramm),وزن این ابزار (گرم),وزن هذه الأداة (جرام)
Weight of this Tool (g)!,Peso de esta herramienta (gramos),Gewicht dieses Werkzeugs (Gramm),وزن این ابزار (گرم),وزن هذه الأداة (جرام)
Weight of this Vocation (g),Peso de esta misión (gramos),Gewicht dieser Mission (Gramm),وزن این ماموریت  (گرم),وزن هذه المهمة (جرام)
Weight of this Vocation (g)!,Peso de esta misión (gramos),Gewicht dieser Mission (Gramm),وزن این ماموریت (گرم),وزن هذه المهمة (جرام)
Weight of this Work (<0>),Peso total de este documento (<0>),Gesamtgewicht dieses Dokuments (<0>),وزن کل این سند (<0>),الوزن الإجمالي لهذه الوثيقة (<0>)
Weight Of Used  G,Peso utilizado en gramos,Verwendetes Gewicht in Gramm,وزن استفاده شده به گرم,الوزن المستخدم بالجرام
Weight Of Works  G,Peso de los artículos en gramos,Gewicht der Artikel in Gramm,وزن کارها به گرم,وزن العناصر بالجرام
"Your organization, institute, company, etc.","Organización, institución, empresa, etc.","Organisation, Institution, Unternehmen usw.","سازمان، موسسه، شرکت و غیره","منظمة، مؤسسة، شركة، الخ."
Your request is not valid!,¡Su solicitud no es válida!,Ihre Anfrage ist ungültig!,درخواست شما معتبر نیست!,طلبك غير صالح!
: activate to sort column ascending,:Habilitado para ordenar elementos en orden ascendente.,": Aktiviert, um Elemente in aufsteigender Reihenfolge zu sortieren.",: فعال برای مرتب  کردن موارد بصورت صعودی,:تم تمكين فرز العناصر بترتيب تصاعدي.
: activate to sort column descending,:Habilitado para ordenar elementos en orden descendente.,": Aktiviert, um Elemente in absteigender Reihenfolge zu sortieren.",: فعال برای مرتب  کردن موارد بصورت نزولی,:تم تمكين فرز العناصر بالترتيب التنازلي.
A Special Integrated Resources Management System,Un sistema integrado de gestión de recursos especiales,Ein integriertes Spezialressourcenmanagementsystem,یک سامانه یکپارچه مدیریت منابع ویژه,نظام متكامل لإدارة الموارد الخاصة
Cancel and return to the currentbox!,Cancelar y volver al cuadro actual!,Abbrechen und zur aktuellen Box zurückkehren!,لغو و بازگشت به جعبه فعلی!,إلغاء والعودة إلى المربع الحالي!
Count of works in draft (<0>)!,Número de tareas en el documento enviado (<0>),Anzahl der Aufgaben im eingereichten Dokument (<0>),تعداد کار در سند ارسالی (<0>),عدد المهام في المستند المقدم (<0>)
Elapsed Delay for this Work (<0>),Retraso registrado al procesar este documento (<0>),Bei der Verarbeitung dieses Dokuments ist eine Verzögerung aufgetreten (<0>),تاخیر ثبت شده حین پردازش این سند (<0>),التأخير المسجل أثناء معالجة هذه الوثيقة (<0>)
Elapsed Time for this Work (<0>),Tiempo transcurrido para procesar este documento (<0>),Verstrichene Zeit zur Verarbeitung dieses Dokuments (<0>),زمان سپری شده برای پردازش این سند (<0>),الوقت المنقضي لمعالجة هذه الوثيقة (<0>)
Found <0><1><2> results for searching <0><3><2>!,<0><1><2> ¡Resultados encontrados para la búsqueda <0><3><2>!,<0><1><2> Ergebnisse für Suche <0><3><2> gefunden!,تعداد <0><1><2> نتیجه برای جستجوی <0><3><2> یافت شد!,<0><1><2> تم العثور على نتائج البحث <0><3><2>!
Merge all similar in processing drafts,Consolidar todos los documentos similares que se están procesando,"Konsolidieren Sie alle ähnlichen Dokumente, die verarbeitet werden",تجمیع همه سند های مشابه درحال پردازش,دمج جميع المستندات المتشابهة التي يتم معالجتها
Numbers of this Work Pieces (<0>),Número de partes de este documento (<0>),Anzahl der Teile in diesem Dokument (<0>),تعداد قطعات این سند (<0>),عدد الأجزاء في هذه الوثيقة (<0>)
Public Images Logoformal_ <0><1><2><3><0><0><0><4><5><3> - Aseqbase,Imágenes públicas Logoformal_ <0><1><2><3><0><0><0><4><5><3> - Aseqbase,Öffentliche Bilder Logoformal_ <0><1><2><3><0><0><0><4><5><3> - Aseqbase,تصاویر عمومی Logoformal_ <0><1><2><3><0><0><0><4><5><3> - Aseqbase,الصور العامة Logoformal_ <0><1><2><3><0><0><0><4><5><3> - Aseqbase
Resume and return to the currentbox!,¡Continúe procesando este documento!,Fahren Sie mit der Bearbeitung dieses Dokuments fort!,ادامه دادن به پردازش روی این سند!,متابعة معالجة هذه الوثيقة!
Send recovery email for the acoount,Enviar un correo electrónico de recuperación para la cuenta,Senden Sie eine Wiederherstellungs-E-Mail für das Konto,ارسال ایمیل بازیابی برای اکانت,إرسال بريد إلكتروني لاسترداد الحساب
Tell a public intorduction about yourself,Da una introducción general sobre ti.,Geben Sie eine allgemeine Vorstellung Ihrer Person.,یک معرفی عمومی در مورد خودتان بگویید,أعط مقدمة عامة عن نفسك.
"The <0> damaged draft, registered successfully!",<0>¡El documento dañado fue guardado exitosamente!,<0> Das beschädigte Dokument wurde erfolgreich gespeichert!,"<0> سند آسیب دیده، با موفقیت ثبت شد!",<0>تم حفظ المستند التالف بنجاح!
"The <0> damaging draft, received successfully!",¡El documento de fallo <0> se recibió correctamente!,Absturzdokument <0> erfolgreich empfangen!,سند خرابی <0> با موفقیت دریافت شد!,تم استلام مستند الأعطال <0> بنجاح!
"The <0> lost draft, received successfully!",¡El documento faltante <0> fue recibido exitosamente!,Das fehlende Dokument <0> wurde erfolgreich empfangen!,"سند گم شده <0>، با موفقیت دریافت شد!",تم استلام الوثيقة المفقودة <0> بنجاح!
"The effective times for each draft
",Tiempos efectivos para cada documento,Gültigkeitsdauer der einzelnen Dokumente,زمان های موثر برای هر سند,الأوقات الفعالة لكل وثيقة
"The location link on the map
",Enlace de ubicación en el mapa,Standortlink auf der Karte,لینک مکان روی نقشه,رابط الموقع على الخريطة
The parent Draft which is related,Relacionado con el documento (documento principal),Bezogen auf das Dokument (Hauptdokument),مرتبط با سند (سند اصلی),متعلق بالوثيقة (الوثيقة الرئيسية)
"The short description of the website
",Breve descripción del sitio web,Kurze Website-Beschreibung,توضیحات کوتاه وب سایت,وصف مختصر للموقع
"The short slogan of the website
",Eslogan corto para un sitio web,Kurzer Website-Slogan,شعار کوتاه وب سایت,شعار موقع ويب قصير
The username or password is incorrect!,¡El nombre de usuario o contraseña es incorrecto!,Der Benutzername oder das Passwort ist falsch!,نام کاربری یا رمز عبور اشتباه است!,اسم المستخدم أو كلمة المرور غير صحيحة!
There could not find any drafts!,¡No se encontraron documentos!,Keine Dokumente gefunden!,هیچ سند ای پیدا نشد!,لم يتم العثور على أي مستندات!
There is not received any changes!,¡No se recibieron cambios!,Keine Änderungen erhalten!,هیچ تغییری دریافت نشده است!,لم يتم تلقي أي تغييرات!
To set this draft as damaged!,¡Marque este documento como dañado!,Markieren Sie dieses Dokument als beschädigt!,تنظیم این سند به عنوان آسیب دیده!,ضع هذه الوثيقة على أنها تالفة!
Trying to change the profile picture!,¡Intentando cambiar la foto de perfil!,"Versuche, das Profilbild zu ändern!",تلاش برای تغییر عکس پروفایل!,محاولة تغيير الصورة الشخصية!
Your Satisfaction is our Greatest Goal,Su satisfacción es nuestro mayor objetivo.,Ihre Zufriedenheit ist unser größtes Ziel.,رضایت شما بزرگترین هدف ماست,رضاكم هو هدفنا الأكبر.
A phone number with your national code,Número de teléfono móvil con prefijo,Handynummer mit Vorwahl,شماره تلفن همراه با پیش شماره,رقم الهاتف المحمول مع البادئة
A unique name exclusive for this profile,Un nombre de perfil único,Ein eindeutiger Profilname,یک نام منحصر به فرد پروفایل,اسم ملف تعريف فريد
Activate auto filling data in some fields,Relleno automático de datos en algunas partes del sistema,Automatische Datenbefüllung in einigen Teilen des Systems,پر گردن خودکار داده در بعضی قسمتهای سامانه,ملء البيانات تلقائيًا في بعض أجزاء النظام
"Dear <0>, you have logged in successfully","<0>Estimado, has iniciado sesión correctamente.","<0> Sehr geehrte Damen und Herren, Sie haben sich erfolgreich angemeldet.","<0> عزیز، شما با موفقیت وارد سیستم شدید","<0>عزيزي، لقد قمت بتسجيل الدخول بنجاح."
Floor of the accepted subtracted weight factor!,¡Coeficiente de peso fraccionario máximo admisible!,Maximal zulässiger Gewichtsanteilskoeffizient!,ضریب حداکثر وزن کسری مجاز!,الحد الأقصى المسموح به لمعامل الوزن الكسري!
I have Received and submitted this draft!,¡Recibo y apruebo este documento!,Ich erhalte und genehmige dieses Dokument!,من این سند را دریافت و تایید می کنم!,أتلقى وأوافق على هذه الوثيقة!
Indicate all used Tools for this Draft,Agregue todas las herramientas utilizadas para este documento.,Fügen Sie alle für dieses Dokument verwendeten Tools hinzu.,تمام ابزارهای استفاده شده برای این سند را اضافه نمایید,أضف جميع الأدوات المستخدمة لهذه الوثيقة.
Indicate all used Vocations for this Draft,Agregue todas las misiones utilizadas para este documento.,Fügen Sie alle für dieses Dokument verwendeten Missionen hinzu.,تمام ماموریت های استفاده شده برای این سند را اضافه نمایید,أضف جميع المهام المستخدمة لهذه الوثيقة.
Numbers of Products Used this Tool (n),Número de productos utilizados con esta herramienta (n),Anzahl der mit diesem Werkzeug verwendeten Produkte (n),تعداد محصولات استفاده شده از این ابزار (n),عدد المنتجات المستخدمة مع هذه الأداة (ن)
related to <0> with <1> of weight,Para cantidad <0> con peso total <1>,Für Menge <0> mit Gesamtgewicht <1>,برای تعداد <0> با وزن کل <1>,للكمية <0> ذات الوزن الإجمالي <1>
Roof of the accepted added weight factor!,¡Coeficiente máximo de peso añadido admisible!,Maximal zulässiger Zusatzgewichtsbeiwert!,ضریب حداکثر وزن افزوده مجاز!,الحد الأقصى المسموح به لمعامل الوزن المضاف!
Showing _FROM_ to _TO_ of _TOTAL_ entries,Mostrar _DESDE_ a _HASTA_ de _TOTAL_ entradas,Zeige _VON_ bis _BIS_ von _GESAMTEN_ Einträgen,نمایش _FROM_ تا _TO_ از _TOTAL_ ورودی,عرض _FROM_ إلى _TO_ من إجمالي _TOTAL_ الإدخالات
Showing _START_ to _END_ of _TOTAL_ entries,Mostrando artículos del _INICIO_ al _FIN_ de _TOTAL_ artículos.,Es werden die Elemente _START_ bis _END_ von _TOTAL_ Elementen angezeigt.,نمایش موارد _START_ تا _END_ از کل _TOTAL_ مورد,عرض العناصر من _START_ إلى _END_ من إجمالي _TOTAL_ العناصر.
The <0> received in your current box!,<0> ¡Recibido en tu caja actual!,<0> in Ihrer aktuellen Box erhalten!,<0> در کادر فعلی شما دریافت شد!,<0> تم استلامه في صندوقك الحالي!
The <0> returned to your current box!,<0>¡Regresó a su cuenta actual!,<0> Auf Ihr Girokonto zurückgebucht!,<0> به صندوق جاری شما بازگشت!,<0>تم إرجاعه إلى حسابك الحالي!
The <0> sent to the next unit!,<0>¡Enviado a la siguiente unidad!,<0> An die nächste Einheit gesendet!,<0> به واحد بعدی ارسال شد!,<0>تم الإرسال إلى الوحدة التالية!
The destination unit to send this draft!,Unidad de destino a la que se enviará este documento,"Zieleinheit, an die dieses Dokument gesendet werden soll",واحد مقصد برای ارسال این سند,وحدة الوجهة التي سيتم إرسال هذه الوثيقة إليها
The destination user to send this draft!,El usuario al que se enviará este documento.,"Der vorgesehene Benutzer, an den dieses Dokument gesendet werden soll.",کاربر مقصد برای ارسال این سند,المستخدم المقصود لإرسال هذه الوثيقة إليه.
"The effective factor to all unit coligues
",Factor que afecta a todos los individuos,"Faktor, der alle Individuen betrifft",فاکتور موثر بر همه اشخاص واحد,العوامل المؤثرة على جميع الأفراد
"The more detailed description of the website
",Más información sobre el sitio web,Weitere Informationen zur Website,توضیحات بیشتر در مورد وب سایت,مزيد من المعلومات حول الموقع
"The more detailed slogan of the website
",Un eslogan más preciso para un sitio web,Präziserer Website-Slogan,شعار دقیق تر وب سایت,شعار موقع الويب الأكثر دقة
"The website full owner and full name
",Nombre completo del propietario del sitio web,Vollständiger Name des Websiteinhabers,نام کامل مالک وب سایت,الاسم الكامل لصاحب الموقع
There had some changes in this draft!,¡Este documento tuvo algunos cambios!,Dieses Dokument weist einige Änderungen auf!,این سند تغییراتی داشت!,هذه الوثيقة بها بعض التغييرات!
There made some recycles in this draft!,¡Este documento contiene algo de reciclaje!,Dieses Dokument enthält einige Recyclingmöglichkeiten!,این سند حاوی مقداری بازیافت است!,تحتوي هذه الوثيقة على بعض المواد القابلة لإعادة التدوير!
Time of Products Used this Tool (m),Tiempo de uso de los productos con esta herramienta (minutos),"Zeit, die die Produkte mit diesem Tool verwenden (Minuten)",زمان محصولات استفاده شده از این ابزار (دقیقه),وقت استخدام المنتجات مع هذه الأداة (بالدقائق)
To see the details of this Draft!,¡Vea los detalles de este documento!,Sehen Sie sich die Details dieses Dokuments an!,دیدن جزئیات این سند!,شاهد تفاصيل هذه الوثيقة!
To send this draft to next step!,¡Envíe este documento a la siguiente etapa!,Senden Sie dieses Dokument an die nächste Stufe!,ارسال این سند به مرحله بعد!,أرسل هذه الوثيقة إلى المرحلة التالية!
To set some changes on this draft!,¡Haciendo algunos cambios a este documento!,Ich nehme einige Änderungen an diesem Dokument vor!,تنظیم برخی تغییرات در این سند!,إجراء بعض التغييرات على هذه الوثيقة!
Try to send the activation email again!,¡Intenta enviar el correo electrónico de activación nuevamente!,"Versuchen Sie erneut, die Aktivierungs-E-Mail zu senden!",سعی کنید دوباره ایمیل فعال سازی را ارسال کنید!,حاول إرسال رسالة التفعيل مرة أخرى!
Weight of Goods Used this Vocation (g),Peso de las mercancías utilizadas en esta misión (gramos),Gewicht der bei dieser Mission verwendeten Waren (Gramm),وزن کالا ها استفاده شده از این ماموریت  (گرم),وزن البضائع المستخدمة في هذه المهمة (جرام)
Weight of Products Used this Tool (g),Peso de los productos utilizados con esta herramienta (gramos),Gewicht der mit diesem Werkzeug verwendeten Produkte (Gramm),وزن محصولات استفاده شده از این ابزار (گرم),وزن المنتجات المستخدمة مع هذه الأداة (جرام)
Weight of Products Used this Tool (g)!,Peso de los productos utilizados con esta herramienta (gramos),Gewicht der mit diesem Werkzeug verwendeten Produkte (Gramm),وزن محصولات استفاده شده از این ابزار (گرم),وزن المنتجات المستخدمة مع هذه الأداة (جرام)
Designed by: MiMFa aseqbase Pure Web Design Framework,Diseñado por: MiMFa aseqbase Pure Web Design Framework,Entworfen von: MiMFa aseqbase Pure Web Design Framework,طراحی شده توسط: MiMFa aseqbase Pure Web Design Framework,تم التصميم بواسطة: MiMFa aseqbase Pure Web Design Framework
Finished processing and set this draft as completed!,¡El procesamiento está completo y este documento se marca como completado!,Die Bearbeitung ist abgeschlossen und dieses Dokument wird als erledigt markiert!,پردازش پایان یافته و تنظیم این سند به عنوان تکمیل شده!,تمت المعالجة وتم تعيين هذه الوثيقة على أنها مكتملة!
Numbers of Goods Used in this Vocation (n),Número de bienes utilizados en esta misión (n),Anzahl der in dieser Mission verwendeten Güter (n),تعداد کالا استفاده شده در این ماموریت (n),عدد البضائع المستخدمة في هذه المهمة (ن)
"The main members and personnel of the website
",Miembros principales del sitio web,Hauptmitglieder der Website,اعضای اصلی وب سایت,الأعضاء الرئيسيين للموقع
Time of Goods Used in this Vocation (m),Tiempo dedicado a esta misión (minutos),Für diese Mission aufgewendete Zeit (Minuten),زمان کالا استفاده شده از این ماموریت (دقیقه),الوقت المستغرق في هذه المهمة (بالدقائق)
To set this draft as damaged by person!,¡Establecer este documento como dañado debido a un defecto en la persona!,Dieses Dokument gilt als beschädigt aufgrund eines Defekts in der Person!,تنظیم این سند به عنوان آسیب دیده بدلیل اشکال در  شخص!,تعيين هذه الوثيقة على أنها تالفة بسبب عيب في الشخص!
To set this draft as damaged by product!,¡Marque este documento como dañado debido a un defecto del producto!,Dieses Dokument wird aufgrund eines Produktfehlers als beschädigt eingestuft!,تنظیم این سند به عنوان آسیب دیده بدلیل اشکال در  محصول!,تعيين هذا المستند على أنه تالف بسبب عيب في المنتج!
To set this draft as damaged by tool!,¡Establecer este documento como dañado debido a un error de herramienta!,Dieses Dokument wird aufgrund eines Werkzeugfehlers als beschädigt eingestuft!,تنظیم این سند به عنوان آسیب دیده بدلیل اشکال در ابزار!,تعيين هذا المستند على أنه تالف بسبب خطأ في الأداة!
To set this draft as damaged by unit!,¡Marcando este documento como dañado debido a errores en la unidad!,Dieses Dokument gilt aufgrund von Fehlern im Gerät als beschädigt!,تنظیم این سند به عنوان آسیب دیده بدلیل اشکال در  واحد!,تعيين هذه الوثيقة على أنها تالفة بسبب أخطاء في الوحدة!
Weight of Goods Used in this Vocation (g)!,Peso de las mercancías utilizadas en esta misión (gramos),Gewicht der bei dieser Mission verwendeten Waren (Gramm),وزن کالا های استفاده شده در این ماموریت (گرم),وزن البضائع المستخدمة في هذه المهمة (جرام)
Your change draft for the <0> registered successfully!,¡Su documento de cambio para <0> se ha enviado correctamente!,Ihr Änderungsdokument für <0> wurde erfolgreich übermittelt!,سند تغییر شما برای <0> با موفقیت ثبت شد!,لقد تم إرسال مستند التغيير الخاص بك لـ <0> بنجاح!
Are you sure you want to duplicate this item?,¿Estás seguro de que deseas hacer una copia de esto?,Möchten Sie hiervon wirklich eine Kopie erstellen?,آیا مطمئن هستید که می خواهید از این مورد یک نسخه کپی تهیه نمایید؟,هل أنت متأكد أنك تريد عمل نسخة من هذا؟
Are you sure you want to remove this item?,¿Está seguro que desea eliminar este elemento?,Möchten Sie diesen Artikel wirklich löschen?,آیا مطمئن هستید که می خواهید این مورد را حذف کنید؟,هل أنت متأكد أنك تريد حذف هذا العنصر؟
Minimum Numbers of Goods to Done this Vocation (n),Número mínimo de bienes para completar esta misión (n),Mindestanzahl an Waren zum Abschließen dieser Mission (n),حداقل تعداد کالا برای انجام این ماموریت (n),الحد الأدنى لعدد البضائع لإكمال هذه المهمة (ن)
Minimum Numbers of Products to Use this Tool (n),Número mínimo de productos para utilizar esta herramienta (n),Mindestanzahl von Produkten zur Verwendung dieses Tools (n),حداقل تعداد محصولات برای استفاده از این ابزار (n),الحد الأدنى لعدد المنتجات لاستخدام هذه الأداة (ن)
Minimum Time of Goods to Done this Vocation (m),Tiempo mínimo para completar esta misión (m),Mindestzeit zum Abschließen dieser Mission (m),حداقل زمان انجام این ماموریت (متر),الحد الأدنى للوقت لإكمال هذه المهمة (م)
Minimum Time of Products to Use this Tool (m),Tiempo mínimo de uso de esta herramienta (m),Mindestnutzungsdauer dieses Werkzeugs (m),حداقل زمان استفاده از این ابزار (متر),الحد الأدنى لوقت استخدام هذه الأداة (م)
"The default payment contents to show for paying process
",Contenido de pago predeterminado que se mostrará durante el pago,"Standardmäßige Zahlungsinhalte, die während des Bezahlvorgangs angezeigt werden",محتویات پرداخت پیش فرض برای نمایش در فرآیند پرداخت,محتويات الدفع الافتراضية التي سيتم عرضها أثناء الخروج
"The main menu to show on the most pages
",Menú principal para mostrar en la mayoría de las páginas,Hauptmenü zur Anzeige auf den meisten Seiten,منوی اصلی برای نمایش در بیشتر صفحات,القائمة الرئيسية لعرضها في معظم الصفحات
"The main symbol path to show on the errors
",La ruta del símbolo principal a mostrar en caso de errores,"Der Pfad des Hauptsymbols, das bei Fehlern angezeigt werden soll",مسیر نماد اصلی برای نشان دادن روی خطاها,مسار الرمز الرئيسي الذي سيتم عرضه عند وجود أخطاء
"The side menu to show on the most pages
",Menú lateral para mostrar en la mayoría de las páginas,Seitenmenü zur Anzeige auf den meisten Seiten,منوی کناری برای نمایش در بیشتر صفحات,القائمة الجانبية لعرضها في معظم الصفحات
You do not have enough access to this action!,¡No tienes suficiente acceso para realizar esta operación!,"Sie verfügen nicht über ausreichende Zugriffsrechte, um diesen Vorgang auszuführen!",شما دسترسی کافی برای انجام این عملیات را ندارید!,ليس لديك القدرة الكافية على إجراء هذه العملية!
"A goldsmith management system, is special for an aseqbase website...","Sistema de gestión de talleres de orfebrería, basado en el marco de trabajo del sitio web asqbase...","Managementsystem für Goldschmiedewerkstätten, basierend auf dem asqbase-Website-Framework …","سیستم مدیریت کارگاه های طلاسازی، مبتنی بر بستر چارچوب وب سایت asqbase ...","نظام إدارة ورشة صياغة الذهب، يعتمد على إطار عمل موقع asqbase..."
"An integrated management system, is special for an aseqbase website...","Sistema de gestión integrado, basado en la plataforma framework sitio web asqbase...","Integriertes Managementsystem, basierend auf der asqbase Website-Framework-Plattform ...","سیستم یکپارچه مدیریت، مبتنی بر بستر چارچوب وب سایت asqbase ...",نظام إدارة متكامل يعتمد على منصة إطار عمل موقع الويب asqbase...
"Dear user, the reset password sent to your email successfully!","Estimado usuario, ¡su correo electrónico de restablecimiento de contraseña ha sido enviado exitosamente!","Sehr geehrter Benutzer, Ihre E-Mail zum Zurücksetzen des Passworts wurde erfolgreich gesendet!",کاربر گرامی ایمیل بازنشانی رمز ورود شما با موفقیت ارسال شد!,"عزيزي المستخدم، لقد تم إرسال بريدك الإلكتروني لإعادة تعيين كلمة المرور بنجاح!"
Finished processing and send this draft to the target unit!,¡Termina de procesar y envía el documento a la siguiente unidad!,Beenden Sie die Bearbeitung und senden Sie das Dokument an die nächste Einheit!,اتمام پردازش و ارسال سند به واحد بعد!,إنهاء المعالجة وإرسال المستند إلى الوحدة التالية!
"Maximum weight, which can works per each one time unit!",¡El peso máximo que una fuerza puede trabajar por unidad de tiempo!,"Das maximale Gewicht, das eine Kraft pro Zeiteinheit leisten kann!","حداکثر وزن، که نیرو می تواند در هر واحد زمانی کار کند!",الحد الأقصى للوزن الذي تستطيع القوة أن تعمله في وحدة الزمن!
Minimum Weight of Goods to Done this Vocation  (g),Peso mínimo de la mercancía para completar esta misión (gramos),Mindestgewicht der Waren zur Erfüllung dieser Mission (Gramm),حداقل وزن کالا برای انجام این ماموریت (گرم),الحد الأدنى لوزن البضائع لإكمال هذه المهمة (جرام)
Minimum Weight of Products to Use this Tool  (g),Peso mínimo del producto para utilizar esta herramienta (gramos),Mindestproduktgewicht zur Verwendung dieses Werkzeugs (Gramm),حداقل وزن محصولات برای استفاده از این ابزار (گرم),الحد الأدنى لوزن المنتج لاستخدام هذه الأداة (جرام)
"Minimum weight, which can works per each one time unit!",¡El peso mínimo que una fuerza puede ejercer por unidad de tiempo!,"Das Mindestgewicht, auf das eine Kraft pro Zeiteinheit einwirken kann!","حداقل وزن، که نیرو می تواند در هر واحد زمانی کار کند!",أقل وزن يمكن للقوة أن تؤثر عليه في وحدة الزمن!
"The effective weight threshold of each piece in each draft
",Umbral de peso efectivo para cada pieza en cada documento,Effektiver Gewichtsgrenzwert für jedes Stück in jedem Dokument,آستانه وزن موثر هر قطعه در هر سند,عتبة الوزن الفعالة لكل قطعة في كل وثيقة
"The main menu items to show on the first page
",Elementos del menú principal que se mostrarán en la primera página,Auf der ersten Seite anzuzeigende Hauptmenüelemente,موارد منوی اصلی برای نمایش در صفحه اول,عناصر القائمة الرئيسية التي سيتم عرضها في الصفحة الأولى
"The main name of the object
The website owner and name
",El nombre real y apellido del propietario del sitio web,Der richtige Vor- und Nachname des Websitebesitzers,نام اصلی مالک وب سایت و نام,الاسم الحقيقي واسم العائلة لصاحب الموقع
"The main shortcut menu to show on the most pages
",Menú de acceso directo principal para mostrar en la mayoría de las páginas,Hauptkontextmenü zur Anzeige auf den meisten Seiten,منوی میانبر اصلی برای نمایش در بیشتر صفحات,القائمة المختصرة الرئيسية لعرضها على معظم الصفحات
"The main symbol path to show while system is processing
",La ruta al ícono principal que se mostrará durante el procesamiento del sistema.,"Der Pfad zum Hauptsymbol, das während der Systemverarbeitung angezeigt werden soll.",مسیر نماد اصلی برای نمایش در هنگام پردازش سیستم,المسار إلى الرمز الرئيسي الذي سيتم عرضه أثناء معالجة النظام.
"The main symbol path to show while system is waiting
",La ruta al ícono principal que se mostrará cuando el sistema esté esperando.,"Der Pfad zum Hauptsymbol, das angezeigt werden soll, wenn das System wartet.",مسیر نماد اصلی برای نمایش در زمانی که سیستم در انتظار است,المسار إلى الرمز الرئيسي الذي سيتم عرضه عندما يكون النظام في حالة انتظار.
The user with these email or username could not register!,¡El usuario con este email o nombre de usuario no pudo registrarse!,Der Benutzer mit dieser E-Mail oder diesem Benutzernamen konnte sich nicht registrieren!,کاربر با این ایمیل یا نام کاربری نتوانست ثبت نام کند!,لم يتمكن المستخدم الذي لديه هذا البريد الإلكتروني أو اسم المستخدم من التسجيل!
This unit is effective on timing and working or not!,¿Es esta unidad eficaz para programar y trabajar?,Ist diese Einheit hinsichtlich Planung und Arbeit effektiv?,این واحد در زمان بندی و کارکردن موثر است یا خیر!,هل هذه الوحدة فعالة في الجدولة والعمل؟
Are you sure you want to set this draft as completed?,¿Está seguro de que desea marcar este documento como completado?,Möchten Sie dieses Dokument wirklich als erledigt markieren?,آیا مطمئن هستید که می خواهید این سند را به عنوان تکمیل شده تنظیم کنید؟,هل أنت متأكد أنك تريد وضع علامة على هذا المستند كمكتمل؟
Are you sure you want to set this draft as damaged?,¿Está seguro de que desea marcar este documento como dañado?,Möchten Sie dieses Dokument wirklich als beschädigt markieren?,آیا مطمئن هستید که می خواهید این سند را به عنوان آسیب دیده تنظیم کنید؟,هل أنت متأكد أنك تريد وضع علامة على هذا المستند على أنه تالف؟
Are you sure you want to set this draft as lost?,¿Estás seguro de que deseas marcar este documento como faltante? (Esto tendrá un impacto muy negativo en tu calificación).,Möchten Sie dieses Dokument wirklich als fehlend markieren? (Dies wird sich sehr negativ auf Ihre Note auswirken.),آیا مطمئنید که می خواهید این سند را به عنوان مفقود شده تنظیم کنید؟ (این کار تاثیر منفی بسیار زیادی روی معدل شما خواهد گذاشت),هل أنت متأكد أنك تريد وضع علامة على هذه الوثيقة كمفقودة؟ (سيكون لهذا تأثير سلبي جدًا على درجتك.)
Count of lost work (<0>)!<1>Do not change this value without coordination!,Número de documentos faltantes (<0>)!<1>¡No cambie este valor sin coordinación!,Anzahl fehlender Dokumente (<0>)!<1>Diesen Wert nicht ohne Abstimmung ändern!,تعداد سند های مفقود شده (<0>)!<1>این مقدار را بدون هماهنگی تغییر ندهید!,عدد المستندات المفقودة (<0>)!<1>لا تغير هذه القيمة بدون تنسيق!
SQLSTATE[<0><1><2><2><2>]: Integrity constraint violation: <3><2><4><0> Duplicate entry <5> for key <6>,SQLSTATE[<0><1><2><2><2>]: Violación de la restricción de integridad: <3><2><4><0> Entrada duplicada <5> para la clave <6>,SQLSTATE[<0><1><2><2><2>]: Verletzung der Integritätsbedingung: <3><2><4><0> Doppelter Eintrag <5> für Schlüssel <6>,SQLSTATE[<0><1><2><2><2>]: نقض محدودیت یکپارچگی: <3><2><4><0> ورودی تکراری <5> برای کلید <6>,SQLSTATE[<0><1><2><2><2>]: انتهاك قيد السلامة: <3><2><4><0> إدخال مكرر <5> للمفتاح <6>
"Unfortunately, you received a <0> mark due to the this work!","¡Lamentablemente, recibiste <0> puntos negativos por esto!",Leider gibt es hierfür <0> Minuspunkte!,"متأسفانه به دلیل این کار، <0> امتیاز منفی دریافت کردید!","لسوء الحظ، لقد حصلت على <0> نقطة سلبية لهذا!"
