en,es,de,fa,ar
Guarding Of The Frontiers,Vigilancia De Las Fronteras,Bewachung Der Grenzen,پاسداری از مرزها,حراسة الحدود
Hand Of A Watch,Manecilla De Un Reloj,Zeiger Einer Uhr,عقربه ساعت,عقرب الساعة
Handsome Lads Dwelling In Paradise,Chicos Guapos Que Viven En El Paraíso,Hübsche Jungs Wohnen Im Paradies,پسران خوش قیافه ای که در بهشت ساکنند,شباب وسيمين يسكنون الجنة
Have A Depraved Appetite,Tener Un Apetito Depravado,Einen Verdorbenen Appetit Haben,اشتهای کاذب دارند,لدي شهية فاسدة
Have A Good Time,Divertirse,Sich Amüsieren,خوش بگذره.,وقتا ممتعا
Have A Happy Ending,Tener Un Final Feliz,Ein Happy End Haben,پایان خوشی داشته باشید,لديك نهاية سعيدة
Have A Wet Dream,Tener Un Sueño Húmedo,Einen Feuchten Traum Haben,رویای خیس داشته باشید,حلمت حلما رطبا
Having A Bad Taste,Tener Un Mal Sabor De Boca,Einen Schlechten Geschmack Haben,بد سلیقه بودن,له طعم سيء
Having A Fine Weather,Teniendo Un Buen Clima,Schönes Wetter Haben,داشتن آب و هوای خوب,وجود طقس جميل
Having A Set Date,Tener Una Fecha Fija,Einen Festen Termin Haben,داشتن تاریخ مشخص,وجود تاريخ محدد
Having An Additional Part,Tener Una Parte Adicional,Mit Einem Zusätzlichen Teil,داشتن یک بخش اضافی,وجود جزء إضافي
Heel To One Side,Talón Hacia Un Lado,Ferse Auf Eine Seite,پاشنه به یک طرف,الكعب إلى جانب واحد
Here Is The Story,Aquí Está La Historia,Hier Ist Die Geschichte,داستان از این قرار است,وهنا القصة
High Bid And Low Bid,Oferta Alta Y Oferta Baja,Höchstgebot Und Niedrigstgebot,پیشنهاد قیمت بالا و پیشنهاد قیمت پایین,عرض مرتفع وعرض منخفض
Hit Over The Head,Golpe En La Cabeza,Über Den Kopf Schlagen,ضربه به بالای سر,ضربة على الرأس
Hold Of A Ship,Bodega De Un Barco,Laderaum Eines Schiffes,نگه داشتن کشتی,عنبر السفينة
Hold On A Minute,Espera Un Minuto,Warte Mal Eine Minute,یک دقیقه صبر کن,انتظر دقيقة واحدة
HTTP <0><1><0> Not Found,HTTP <0><1><0> No encontrado,HTTP <0><1><0> Nicht gefunden,HTTP <0><1><0> یافت نشد,HTTP <0><1><0> غير موجود
"I agree to all the <0>, by submitting this form!",¡Acepto todos los términos y condiciones al <0> este formulario!,"Ich stimme allen <0> zu, indem ich dieses Formular absende!","با تایید این فرم، اعلام میدارم که با تمامی <0> موافق هستم.","أوافق على جميع الشروط المذكورة أعلاه، من خلال تقديم هذه الاستمارة!"
I don't have an account!,¡No tengo una cuenta!,Ich habe kein Konto!,من حساب کاربری ندارم!,ليس لدي حساب!
I know exactly what I want to be.,,"Ich weiß genau, was ich werden will.",من دقیقاً می دانم می خواهم چه باشم.,أعرف تمامًا ما أريد أن أكون.
I know roughly what I want to be.,,"Ich weiß ungefähr, was ich werden will.",تقریباً می دانم چه می خواهم باشم.,أعرف تقريبًا ما أريد أن أكون.
I remembered my password!,¡Me acordé de mi contraseña!,Ich habe mein Passwort wiedererkannt!,رمزعبورم را به یاد آوردم!,لقد تذكرت كلمة المرور الخاصة بي!
I want to go to the lab,Quiero ir al laboratorio,Ich möchte ins Labor gehen,من میخوام برم آزمایشگاه,أريد أن أذهب إلى المختبر
I<0>t know which one yet.,,"Ich weiß noch nicht, was.",هنوز نمی دانم کدام.,لا أعرف أيهما بعد.
If God Pleases So,Si A Dios Le Place,Wenn Gott Will,اگر خدا چنین راضی باشد,إن شاء الله ذلك
"If you already have a user account, please enter the password; otherwise, a new user account will be created using this password.","Si ya tiene una cuenta de usuario, introduzca la contraseña; de lo contrario, se creará una nueva cuenta de usuario con esta contraseña.","Falls Sie bereits ein Benutzerkonto besitzen, geben Sie bitte das Passwort ein; andernfalls wird mit diesem Passwort ein neues Benutzerkonto erstellt.","اگر با مشخصات وارد شده حساب کاربری داشته اید، لطفا رمز عبور آن را وارد نمایید، در غیر اینصورت حساب کاربری جدید با این رمز عبور ساخته خواهد شد.",
Import Lexicon,Una entrada de diccionario,Ein Wörterbucheintrag,ورودی یه واژه نامه,مدخل القاموس
In A Confused State,En Un Estado De Confusión,In Einem Verwirrten Zustand,در حالتی گیج و منگ,في حالة ارتباك
In A Friendly Manner,De Manera Amistosa,Auf Freundliche Art Und Weise,به طور دوستانه,بطريقة ودية
In An Elderly Manner,De Manera Anciana,Auf Ältere Art,به طور مسن,بطريقة مسنة
In Any Way Possible,De Cualquier Manera Posible,Auf Jede Mögliche Weise,به هر نحو ممکن,بأي طريقة ممكنة
In Case Of Need,En Caso De Necesidad,Im Bedarfsfall,در صورت نیاز,في حالة الحاجة
In Spite Of This,A Pesar De Esto,Trotzdem,با وجود این,وعلى الرغم من هذا
In Such A Way,De Tal Manera,Derart,به این ترتیب,بهذه الطريقة
In The Center Of,En El Centro De,Im Zentrum Von,در مرکزِ,في وسط
In The Connection With,En Relación Con,Im Zusammenhang Mit,در ارتباط با,في اتصال مع
In The Direction Of,En La Dirección De,In Richtung,در جهت,في اتجاه
In The Form Of,En Forma De,In Form Von,به شکل,في شكل
In The Middle Of,A Mediados De,Mitten In,در میانه ی,في منتصف
In The Midst Of,En El Medio De,Inmitten,در میانِ,في وسط
In The Name Of God,En El Nombre De Dios,Im Namen Gottes,به نام خدا,باسم الله
In The Nick Of Time,Justo A Tiempo,Im Letzten Moment,در آخرین لحظه,في اللحظة الحاسمة
In The Process Of,En Vías De,Im Prozess Der,در فرآیند,في عملية
In The Same Manner,De La Misma Manera,Auf Die Gleiche Weise,به همان شیوه,بنفس الطريقة
In Time Of Need,En Tiempos De Necesidad,In Zeiten Der Not,در وقت نیاز,في وقت الحاجة
Indicate a unique username,Indica un nombre de usuario único,Geben Sie einen eindeutigen Benutzernamen an,یک نام کاربری منحصر به فرد را مشخص نمایید,أشر إلى اسم مستخدم فريد
Indicate your current location on the map,Indica tu ubicación actual en el mapa,Geben Sie Ihren aktuellen Standort auf der Karte an,مکان فعلی خود را روی نقشه مشخص نمایید,أشر إلى موقعك الحالي على الخريطة
Interest Of The Country,Interés Del País,Interesse Des Landes,مصلحت کشور,مصلحة البلاد
Iran Ministry Of Foreign Affairs,Ministerio De Asuntos Exteriores De Irán,Iranisches Außenministerium,وزارت امور خارجه ایران,وزارة الخارجية الإيرانية
Iris Of The Eye,Iris Del Ojo,Iris Des Auges,عنبیه چشم,قزحية العين
Islamic Republic Of Iran,República Islámica De Irán,Islamische Republik Iran,جمهوری اسلامی ایران,الجمهورية الإسلامية الإيرانية
Islamic Republic Revolutionary Guards,Guardias Revolucionarios De La República Islámica,Revolutionsgarden Der Islamischen Republik,سپاه پاسداران جمهوری اسلامی,الحرس الثوري للجمهورية الإسلامية
Islamic Republics News Agency',Agencia De Noticias De Las Repúblicas Islámicas,Nachrichtenagentur Der Islamischen Republik‘,خبرگزاری جمهوری اسلامی,وكالة أنباء الجمهورية الإسلامية
It Is Over With Her,Se Acabó Con Ella,Es Ist Vorbei Mit Ihr,با او تمام شده است,لقد انتهى الأمر معها
It Is Over With Him,Se Acabó Con Él,Es Ist Vorbei Mit Ihm,با او تمام شده است,لقد انتهى الأمر معه
It Is Worth Nothing,No Vale Nada,Es Ist Nichts Wert,هیچ ارزشی ندارد,لا يساوي شيئا
It seams your payment is failed or canceled.,Parece que su pago ha fallado o ha sido cancelado.,"Es scheint, dass Ihre Zahlung fehlgeschlagen oder abgebrochen wurde.",به نظر می رسد پرداخت شما ناموفق بوده یا لغو شده است.,يبدو أن دفعتك فشلت أو تم إلغاؤها.
Jack In The Box,Jack En La Caja,Jack In Der Box,جک در جعبه,جاك في الصندوق
Jack Of All Trades,Un Manitas,Alleskönner,همه فن حریف,رجل كل المهن
Join to a Forum,,Forum beitreten,به یک انجمن بپیوندید,انضم إلى مجتمع
Justice Of The Peace,Juez De Paz,Friedensrichter,عدالت صلح,قاضي الصلح
Keep it secret,Mantenlo en secreto,Bitte geheim halten,لطفا آن را مخفی نگه دارید,احتفظ به سرًا
"Koreei Alley, Motahari Street, Yazd, Iran","Callejón Koreei, Calle Motahari, Yazd, Irán","Koreei Alley, Motahari Street, Yazd, Iran","ایران، یزد، خیابان مطهری، کوچه کره ای","زقاق كوري، شارع مطهري، يزد، إيران"
Kurdistan Democratic Party Of Iraq,Partido Democrático Del Kurdistán De Irak,Demokratische Partei Kurdistans Im Irak,حزب دموکرات کردستان عراق,الحزب الديمقراطي الكردستاني العراقي
Leader Of A Caravan,Líder De Una Caravana,Anführer Einer Karawane,سرپرست کاروان,زعيم القافلة
Leave A Comment,Deja Un Comentario,Einen Kommentar Schreiben,نظر بدهید,اترك تعليقا
Leave a message,¡Déjanos un mensaje!,Hinterlasse uns eine Nachricht!,پیامی بگذارید...,اترك لنا رسالة!
Leave a message to Us!,¡Envíanos un mensaje!,Hinterlassen Sie uns eine Nachricht!,برای ما پیام بگذارید!,اترك لنا رسالة!
Leave Your Comment About This <0> Here!,¡Deja Tu Comentario Sobre Este <0> Aquí!,Hinterlassen Sie Hier Ihren Kommentar Zu Diesem <0>!,نظر خود را در مورد این <0> اینجا بنویسید!,اترك تعليقك حول هذه <0>!
Leave Your Thought,Deja Tu Pensamiento,Hinterlassen Sie Ihre Gedanken,ایده ات را بیان کن,اترك فكرتك
Liar Is Gods Enemy','El Mentiroso Es Enemigo De Dios',Lügner Ist Gottes Feind‘,دروغگو دشمن خداست,الكذاب عدو الله
Liar Is God'S Enemy,,,دروغگو دشم خداست,
Lid Of A Can,Tapa De Una Lata,Deckel Einer Dose,درب قوطی,غطاء علبة
Look at previous requests,Ver solicitudes anteriores,Schauen Sie sich frühere Anfragen an,نگاهی به درخواست های قبلی,انظر إلى الطلبات السابقة
Make A Nice Distinction,Hacer Una Buena Distinción,Einen Schönen Unterschied Machen,تمایز زیبایی قائل شوید,اصنع تمييزًا لطيفًا
Make A Rough Copy,Hacer Una Copia Preliminar,Einen Rohentwurf Anfertigen,یک نسخه خام تهیه کنید,اصنع نسخة تقريبية
Make A Rough Draft,Hacer Un Borrador,Einen Rohentwurf Erstellen,یک پیش نویس اولیه تهیه کنید,عمل مسودة تقريبية
Make A Special Effort,Hacer Un Esfuerzo Especial,Sich Besonders Anstrengen,تلاش ویژه ای داشته باشید,بذل جهد خاص
Make Sound Of Siren,Hacer Sonido De Sirena,Sirenengeräusch Machen,صدای آژیر درآوردن,إصدار صوت صفارة الإنذار
Make Up For The Past,Compensar El Pasado,Die Vergangenheit Wiedergutmachen,گذشته را جبران کن,تعويض عن الماضي
Marked With The Vowel Point,Marcado Con El Punto Vocálico,Markiert Mit Dem Vokalpunkt,با نقطه مصوت مشخص شده است,مُعَلَّم بنقطة حرف العلة
May His Fortune Last,Que Su Fortuna Dure,Möge Sein Glück Anhalten,بختش پایدار باد,أتمنى أن يدوم حظه
Measure By Set A Square,Medir Con Un Cuadrado,Messen Mit Einem Winkelmaß,با تنظیم یک مربع اندازه گیری کنید,القياس عن طريق تعيين مربع
Members Of The Parliament,Miembros Del Parlamento,Abgeordnete,اعضای مجلس,أعضاء البرلمان
Messenger Of Good News,Mensajero De Buenas Noticias,Überbringer Der Guten Nachricht,پیام آور خبرهای خوب,رسول البشارة
Middle East News Line,Línea De Noticias De Oriente Medio,Nachrichtenlinie Für Den Nahen Osten,خط خبری خاورمیانه,خط أخبار الشرق الأوسط
Ministry Of Foreign Affairs,Ministerio De Asuntos Exteriores,Außenministerium,وزارت امور خارجه,وزارة الخارجية
Mohammad Reza Nemat Zadeh,Mohammad Reza Nemat Zadeh,Mohammad Reza Nemat Zadeh,محمدرضا نعمت زاده,محمد رضا نعمت زاده
Molana Sami Al Haq,Molana Sami Al Haq,Molana Sami Al Haq,مولانا سمیع الحق,مولانا سامي الحق
Mullah Abdul Salam Zaeef,Mulá Abdul Salam Zaeef,Mullah Abdul Salam Zaeef,ملا عبدالسلام ضعیف,الملا عبد السلام ضعيف
National Congress Of Iraq,Congreso Nacional De Irak,Nationalkongress Des Irak,کنگره ملی عراق,المؤتمر الوطني العراقي
National Id<0>*<1>,Documento de identidad nacional<0>*<1>,Nationale ID<0>*<1>,کد ملی<0>*<1>,الهوية الوطنية<0>*<1>
National Iranian Oil Company,Compañía Nacional De Petróleo De Irán,Nationale Iranische Ölgesellschaft,شرکت ملی نفت ایران,الشركة الوطنية الإيرانية للنفط
National Security Supreme Council,Consejo Supremo De Seguridad Nacional,Oberster Rat Für Nationale Sicherheit,شورای عالی امنیت ملی,المجلس الأعلى للأمن القومي
Nayef Ben Abdul Aziz,Nayef Ben Abdul Aziz,Nayef Ben Abdul Aziz,نایف بن عبدالعزیز,نايف بن عبد العزيز
Necessity Is The Mother Of Invention,La Necesidad Es La Madre De La Invención,Not Macht Erfinderisch,"نیاز، مادر اختراع است",الحاجة أم الاختراع
New Convert To Islam,Nuevo Converso Al Islam,Neubekehrter Zum Islam,تازه مسلمان شده,اعتنق الإسلام حديثًا
No items available,No hay artículos disponibles,Keine Artikel verfügbar,هیچ موردی موجود نیست,لا يوجد عناصر متاحة
No matching items found,,Keine passenden Einträge gefunden,هیچ موردی مطابق یافت نشد,لم يتم العثور على أي عناصر مطابقة
None Of Your Business,No Es Asunto Tuyo,Das Geht Sie Nichts An,به تو مربوط نیست,هذا ليس من شأنك
Not Counting The Fact That,Sin Contar El Hecho De Que,"Ohne Die Tatsache Zu Berücksichtigen, Dass",بدون احتساب این واقعیت که,دون احتساب حقيقة أن
Not On Due Time,No A Tiempo,Nicht Rechtzeitig,سر وقت نیست,ليس في الوقت المناسب
Not To Mention That,Sin Mencionar Que,"Ganz Zu Schweigen Davon, Dass",ناگفته نماند که,ناهيك عن ذلك
Noun Governing The Genitive,Sustantivo Que Rige El Genitivo,"Substantiv, Das Den Genitiv Bestimmt",اسمی که حالت ملکی را کنترل می کند,الاسم الذي يحكم الجر
Noun In The Genitive Case,Sustantivo En Caso Genitivo,Substantiv Im Genitiv,اسم در حالت ملکی,الاسم في حالة الجر
Of A Bad Stock,De Una Mala Acción,Einer Schlechten Aktie,از موجودی بد,من المخزون السيئ
Of A Hot Temperament,De Temperamento Ardiente,Von Einem Heißen Temperament,دارای مزاج گرم,ذو مزاج حار
Of A Poor Health,De Mala Salud,Einer Schlechten Gesundheit,از نظر سلامتی ضعیف,من سوء الصحة
Of A Pure Nature,De Naturaleza Pura,Von Reiner Natur,از طبیعتی پاک,ذات طبيعة نقية
Office Of Public Prosecutor,Oficina Del Fiscal,Staatsanwaltschaft,دفتر دادستانی عمومی,مكتب المدعي العام
Old Iranian Gold Coin,Antigua Moneda De Oro Iraní,Alte Iranische Goldmünze,سکه طلای قدیمی ایرانی,عملة ذهبية إيرانية قديمة
On A Share Basis,Sobre Una Base De Acciones,Auf Aktienbasis,بر اساس سهم,على أساس الأسهم
On The Back Of,En La Parte Posterior De,Auf Der Rückseite Von,در پشتِ,على ظهر
On The Basis Of,Teniendo Como Base,Auf Der Grundlage Von,بر اساس,على أساس
On The Charge Of,Bajo El Cargo De,Unter Dem Vorwurf,به اتهام,بتهمة
On The Contrary To,Por El Contrario,Im Gegenteil Zu,بر عکسِ,على العكس من ذلك
On The Corner Of,En La Esquina De,An Der Ecke Von,در گوشه ای از,على زاوية
On The Date Due,En La Fecha De Vencimiento,Am Fälligkeitstag,در تاریخ سررسید,في تاريخ الاستحقاق
On The Occasion Of,En Ocasión De,Anlässlich,به مناسبت,بمناسبة
On The Other Hand,Por Otro Lado,Auf Der Anderen Seite,از طرف دیگر,على الجانب الآخر
On The Other Side,Allende,Auf Der Anderen Seite,از طرف دیگر,على الجانب الآخر
On The Point Of,A Punto De,Auf Dem Punkt Von,در نقطه ی,على نقطة
On The Side Of,En El Lado De,Auf Der Seite Von,در کنارِ,على جانب
On The Top Of,En La Parte Superior De,Auf Der Spitze Von,در بالای,على القمة
On The Verge Of,Al Borde De,Am Rande Von,در آستانه,على حافة
One Dying Before Another,Uno Muriendo Antes Que Otro,Einer Stirbt Vor Dem Anderen,یکی قبل از دیگری می میرد,يموت أحدهم قبل الآخر
One Who Does Not Fast,Uno Que No Ayuna,"Jemand, Der Nicht Fastet",کسی که روزه نمی گیرد,من لا يصوم
One Who Seeks Will Find,El Que Busca Encontrará,"Wer Sucht, Der Findet","کسی که جستجو کند، خواهد یافت",من يبحث يجد
Opecs Ministerial Monitoring Sub-Committee',Subcomité Ministerial De Monitoreo De La OPEP,Unterausschuss Für Ministerielle Überwachung Der OPEC,کمیته فرعی نظارت وزرای اوپک,اللجنة الفرعية للمراقبة الوزارية لمنظمة أوبك
"Open the scanner on your phone, or visit <0>...",Abre el escáner en tu teléfono o visita <0>...,Öffnen Sie den Scanner auf Ihrem Telefon oder besuchen Sie <0>...,"اسکنر را در تلفن خود باز کنید، یا از <0>... دیدن کنید","افتح الماسح الضوئي على هاتفك، أو قم بزيارة <0>..."
Organization Of The Islamic Conference,Organización De La Conferencia Islámica,Organisation Der Islamischen Konferenz,سازمان کنفرانس اسلامی,منظمة المؤتمر الإسلامي
Out Of The Way,Fuera Del Camino,Aus Dem Weg,از راه خارج,خارج الطريق
Participate In A Competition,Participar En Una Competición,An Einem Wettbewerb Teilnehmen,در یک مسابقه شرکت کنید,المشاركة في مسابقة
Password<0>*<1>,Contraseña<0>*<1>,Passwort<0>*<1>,رمز عبور<0>*<1>,كلمة المرور<0>*<1>
Patient Examination and Management,Examen y gestión de pacientes,Patientenuntersuchung und -management,معاینه و مدیریت بیمار,فحص المرضى وإدارتهم
Patriotic Union Of Kurdistan,Unión Patriótica Del Kurdistán,Patriotische Union Kurdistans,اتحادیه میهنی کردستان,الاتحاد الوطني الكردستاني
Patriotic Union Of Kurdistan Of Iraq,Unión Patriótica Del Kurdistán De Irak,Patriotische Union Kurdistans Im Irak,اتحادیه میهنی کردستان عراق,الاتحاد الوطني الكردستاني العراق
Pay One S Debts,Pagar Las Deudas,Seine Schulden Bezahlen,بدهی های خود را پرداخت کردن,سداد الديون
Peoples Democratic Republic Of Korea',República Popular Democrática De Corea,Demokratische Volksrepublik Korea‘,جمهوری دموکراتیک خلق کره,جمهورية كوريا الديمقراطية الشعبية
Peoples Republic Of China',República Popular China,Volksrepublik China‘,جمهوری خلق چین,جمهورية الصين الشعبية
Perform Ablution Before Prayer,Realizar La Ablución Antes De La Oración,Vor Dem Gebet Die Waschung Durchführen,قبل از نماز وضو بگیرید,توضأ قبل الصلاة
Pertaining To A Party,Perteneciente A Una Fiesta,Eine Partei Betreffend,مربوط به مهمانی,متعلق بحزب
Pertaining To A Veil Or Tent,Perteneciente A Un Velo O Tienda,In Bezug Auf Einen Schleier Oder Ein Zelt,مربوط به حجاب یا چادر,متعلق بالحجاب أو الخيمة
Pertaining To Sort Or Quality,Perteneciente Al Tipo O Calidad,Bezüglich Art Oder Qualität,مربوط به نوع یا کیفیت,متعلقة بالنوع أو الجودة
Pieces Of Good News,Piezas De Buenas Noticias,Gute Nachrichten,خبرهای خوب,قطع من الأخبار الجيدة
Place For Public Prayer,Lugar De Oración Pública,Ort Für Öffentliches Gebet,مکانی برای نماز جماعت,مكان للصلاة العامة
Place To Escape To,Lugar Para Escapar,"Ort, An Den Man Fliehen Kann",جایی برای فرار به,مكان للهروب إليه
Plaster Of Clay And Straw,Yeso De Arcilla Y Paja,Gips Aus Lehm Und Stroh,گچ از خاک رس و کاه,جص من الطين والقش
Please allow location access,Permite el acceso a la ubicación,Bitte erlauben Sie den Standortzugriff,لطفاً اجازه دسترسی به موقعیت مکانی را بدهید,يُرجى السماح بالوصول إلى الموقع
Please check your connection!,¡Comprueba tu conexión!,Bitte überprüfen Sie Ihre Verbindung!,لطفا اتصال خود را بررسی کنید!,يرجى التحقق من اتصالك!
Please complete field by correct format...,Por favor complete el campo con el formato correcto...,Bitte füllen Sie das Feld im richtigen Format aus ...,لطفا فیلد را با مقدار درست تکمیل نمایید....,يرجى ملء الحقل بالتنسيق الصحيح...
Please input your <0>,¡Por favor ingresa tu <0>!,Bitte geben Sie Ihre <0> ein!,لطفا <0> خود را وارد نمایید!,يرجى إدخال <0> الخاص بك
Please input your <0>!,¡Por favor ingresa tu <0>!,Bitte geben Sie Ihre <0> ein!,لطفا <0> خود را وارد نمایید!,يرجى إدخال <0> الخاص بك!
Please scan the correct QRCode!,¡Escanea el código QR correcto!,Bitte scannen Sie den richtigen QRCode!,لطفا QRCode صحیح را اسکن کنید!,يرجى مسح رمز الاستجابة السريعة الصحيح!
Please scan the QRCode,Escanea el código QR,Bitte scannen Sie den QRCode,لطفا کیوآرکد را اسکن کنید,الرجاء مسح رمز الاستجابة السريعة
"Please scan the QRCode, or ",Escanea el código QR o," Bitte scannen Sie den QRCode, oder"," لطفا QRCode را اسکن کنید، یا"," يرجى مسح رمز الاستجابة السريعة QRCode، أو"
Please try again...,"Por favor, inténtalo de nuevo...",Bitte versuchen Sie es erneut...,لطفا دوباره تلاش کنید...,يرجى المحاولة مرة أخرى...
Please verify your <0>,"Por favor, verifique su <0>",Bitte überprüfen Sie Ihre <0>,لطفا <0> خود را تایید نمایید,يرجى التحقق من <0> الخاص بك
Please wait,Espere por favor,Bitte warten,لطفا منتظر بمانید,انتظر من فضلك
Please wait...,Espere por favor...,Bitte warten...,لطفا منتظر بمانید...,انتظر من فضلك...
Pointed To By The Finger,Señalado Con El Dedo,Mit Dem Finger Darauf Zeigen,با انگشت اشاره کرد,أشار إليه الإصبع
Pointer Of A Scale,Puntero De Una Escala,Zeiger Einer Skala,نشانگر ترازو,مؤشر الميزان
Porridge Made Of Wheat And Meat,Gachas De Trigo Y Carne,Brei Aus Weizen Und Fleisch,فرنی تهیه شده از گندم و گوشت,عصيدة مصنوعة من القمح واللحم
Praise Be To God,Alabado Sea Dios,Lob Sei Gott,ستایش مخصوص خداست,الحمد لله
Press Sour Grape Juice,Prensar Jugo De Uva Agria,Sauren Traubensaft Pressen,آب انگور ترش را فشار دهید,عصير العنب الحامض
Pretended To Be Right,Fingió Tener Razón,"Gab Vor, Recht Zu Haben",وانمود کرد که درست می گوید,تظاهر بأنه على حق
Profess Singleness Of God,Profesan La Unicidad De Dios,Bekennen Einzigartigkeit Gottes,اقرار به یگانگی خدا,يعلنون وحدة الله
Profession To Be Sunnite,Profesión De Ser Sunita,"Beruf, Sunnit Zu Sein",سنی بودن را پیشه خود قرار دادن,المهنة أن تكون سنيًا
Prove To Be Useful,Resultar Útil,Sich Als Nützlich Erweisen,مفید بودن را ثابت کردن,ثبت أنها مفيدة
Purchase From Lowest Bidder,Comprar Al Postor Más Bajo,Kauf Beim Niedrigsten Bieter,خرید از کمترین پیشنهاد دهنده,الشراء من أقل مزايد
Put In A Bad Mood,Poner De Mal Humor,Für Schlechte Laune Sorgen,بدخلق کردن,وضع في مزاج سيئ
Put In Reverse Gear,Poner La Marcha Atrás,Den Rückwärtsgang Einlegen,دنده عقب قرار دهید,وضع في الترس العكسي
Rain In Fine Drops,Lluvia En Gotas Finas,Regen In Feinen Tropfen,باران به صورت قطرات ریز,المطر في قطرات صغيرة
Reach One S Goal,Alcanzar Una Meta,Sein Ziel Erreichen,رسیدن به هدف,الوصول إلى هدفك
Refer people to visit your page,Recomienda a otras personas que visiten tu página,"Empfehlen Sie Personen, Ihre Seite zu besuchen",افراد را به بازدید از صفحه خود دعوت کنید,إحالة الأشخاص لزيارة صفحتك
Refer to complete the process,Consulte para completar el proceso,Weitere Informationen zum Abschluss des Vorgangs finden Sie hier,تکمیل فرایند,راجع لإكمال العملية
Regarding The Fact That,Con Respecto Al Hecho De Que,"Hinsichtlich Der Tatsache, Dass",در مورد این واقعیت که,بخصوص حقيقة أن
Relied Upon For Help,Confiado En Ayuda,Auf Hilfe Angewiesen,برای کمک به او تکیه کردند,الاعتماد على المساعدة
Religious Source Of Immitation,Fuente Religiosa De Imitación,Religiöse Quelle Der Nachahmung,مرجع تقلید دینی,مصدر ديني للتقليد
remains to send again,queda pendiente volver a enviar,muss noch einmal verschickt werden,باقیمانده تا ارسال مجدد,لا يزال يتعين إرسالها مرة أخرى
Request an <0> service,Solicitar un servicio <0>,Fordern Sie einen <0>-Dienst an,درخواست خدمات <0>,طلب خدمة <0>
Request Submit,Enviar solicitud,Anfrage senden,درخواست ارسال,طلب إرسال
Reset Password,Restablecer contraseña,Passwort zurücksetzen,بازنشانی رمز عبور,إعادة تعيين كلمة المرور
Results are as the below,Los resultados son los siguientes,Die Ergebnisse lauten wie folgt,نتایج حاصله به شرح زیر می باشد,النتائج هي كما يلي
Roll Up One S Sleeves,Arremangarse,Die Ärmel Hochkrempeln,آستین بالا زدن,اشمر عن سواعدك
Roll Up Ones Sleeves','Arremangarse',Die Ärmel Hochkrempeln‘,آستین بالا زدن,اشمر عن سواعدك
Roll Up One'S Sleeves,,,آستین بالا زدن,
Ruler Of The World,Gobernante Del Mundo,Herrscher Der Welt,حاکم جهان,حاكم العالم
Sacrifice Of An Animal,Sacrificio De Un Animal,Opferung Eines Tieres,قربانی کردن حیوان,التضحية بالحيوان
Said To Be Of,Se Dice Que Es De,Soll Von,گفته می شود از,يقال أنه من
Save One S Skin,Salvar El Pellejo,Seine Haut Retten,پوست خود را نجات دهید,احفظ جلدك
Scan the QRCode or use the <0> on the website...,Escanea el código QR o usa el <0> en el sitio web...,Scannen Sie den QRCode oder verwenden Sie die <0> auf der Website...,QRCode را اسکن کنید یا از <0> در وب سایت استفاده کنید...,قم بمسح رمز الاستجابة السريعة QRCode أو استخدم <0> على الموقع الإلكتروني...
Search engine optimization (SEO),,Suchmaschinenoptimierung (SEO),بهینه سازی موتور جستجو (SEO),تحسين محركات البحث (SEO)
Search for suitable apprenticeships,,Suche nach passenden Ausbildungsplätzen,جستجوی دوره های کارآموزی مناسب,ابحث عن فرص تدريب مناسبة
Search Results,Resultados de la búsqueda,Suchergebnisse,نتایج جستجو,نتائج البحث
Secretary Of National Security Supreme Council,Secretario Del Consejo Supremo De Seguridad Nacional,Sekretär Des Obersten Rates Der Nationalen Sicherheit,دبیر شورای عالی امنیت ملی,أمين المجلس الأعلى للأمن القومي
See all latest requests,Ver todas las solicitudes más recientes,Alle neuesten Anfragen anzeigen,مشاهده همه درخواست های اخیر,شاهد جميع الطلبات الأخيرة
See all the <0> requests,Ver todas <0> más recientes,Alle neuesten <0> anzeigen,مشاهده همه درخواست های <0>,شاهد جميع الطلبات <0>
Select on Map,Seleccionar en el mapa,Auf der Karte auswählen,انتخاب روی نقشه,حدد على الخريطة
Seller Of Cotton Yarns,Vendedor De Hilos De Algodón,Verkäufer Von Baumwollgarnen,فروشنده نخ پنبه,بائع خيوط القطن
Send to partners,Enviar a socios,An Partner senden,ارسال به همکاران,إرسال إلى الشركاء
Send to the partners,Enviar a los socios,An die Partner senden,ارسال به همکاران,إرسال إلى الشركاء
Sending to partners,Envío a socios,Senden an Partner,ارسال به همکاران,إرسال إلى الشركاء
Sent To Firing Squad,Enviado Al Pelotón De Fusilamiento,Zum Erschießungskommando Geschickt,به جوخه آتش فرستاده شد,أُرسل إلى فرقة الإعدام
Separation Of Church And State,Separación De La Iglesia Y El Estado,Trennung Von Kirche Und Staat,جدایی کلیسا و دولت,فصل الكنيسة عن الدولة
Serve As An Apprentice,Servir Como Aprendiz,Als Lehrling Dienen,به عنوان شاگرد خدمت کردن,العمل كمتدرب
Seyed @Ly X|Mnh |Y,Seyed @Ly X|Mnh |Y,Seyed @Ly X|Mnh |Y,سید @ly x|mnh |y,سيد @ly x|mnh |y
Seyed Bagher Al Hakim,Seyed Bagher Al Hakim,Seyed Bagher Al Hakim,سید باقر آل حکیم,السيد باقر الحكيم
