x,en,es,de,fa,ar
"Be Filled","Be Filled","Estar Lleno","Gefüllt Werden","پر شود",تمتلئ
"Be Fined","Be Fined","Ser Multado","Mit Einer Geldstrafe Belegt Werden","جریمه شود","سيتم تغريمك"
"Be Fired","Be Fired","Hacer El Fuego","Gefeuert Werden","اخراج شدن","سيتم طرده"
"Be Fixed","Be Fixed","Ser Arreglado","Festgesetzt Werden","ثابت باشد","أن تكون ثابتة"
"Be Fond Of","Be Fond Of","Ser Aficionado A","Gern Haben","دوست داشته باش","كن مولعًا بـ"
"Be Fooled","Be Fooled","Ser Engañado","Sich Täuschen Lassen","گول خورده باشی",انخدع
"Be Forced","Be Forced","Ser Forzado","Gezwungen Werden","مجبور شدن",أُجبر
"Be Forstalled","Be Forstalled","Ser Prevenido","Vorweggenommen Werden","نصب شده باشد","أن يتم إيقافه"
"Be Found","Be Found",Estar,"Gefunden Werden","پیدا شدن","يمكن العثور عليها"
"Be Founded","Be Founded","Ser Fundada","Gegründet Werden","تأسیس شود","يتم تأسيسها"
"Be Freed","Be Freed","Ser Liberado","Befreit Werden","آزاد شدن",تحرر
"Be Friends","Be Friends","Ser Amigos","Freunde Sein","دوست باشید","كونوا أصدقاء"
"Be Frightened","Be Frightened",Espantarse,Erschrecken,"ترسیده بودن","كن خائفا"
"Be Gained","Be Gained","Ser Ganado","Gewonnen Werden","به دست آورده شود","يتم الحصول عليها"
"Be Gentleman","Be Gentleman","Sé Un Caballero","Sei Ein Gentleman","جنتلمن باش","كن رجلاً نبيلًا"
"Be Given","Be Given","Ser Dado","Gegeben Werden","داده شود","أن تعطى"
"Be Granted","Be Granted","Ser Concedido","Gewährt Werden","اعطا شود","يتم منحها"
"Be Greedy","Be Greedy","Ser Codicioso","Gierig Sein","حریص باشید","كن جشعًا"
"Be Harmful","Be Harmful","Ser Perjudicial","Schädlich Sein","مضر باشد","تكون ضارة"
"Be Healed","Be Healed","Ser Sanado","Geheilt Werden","شفا پیدا کنید","أن يتم شفاؤه"
"Be Heedless","Be Heedless","Ser Descuidado","Achtlos Sein","بی توجه باشید","كن غافلاً"
"Be Held","Be Held","Ser Retenido","Gehalten Werden","برگزار شود","أن تعقد"
"Be Held Accountable","Be Held Accountable","Rendir Cuentas","Zur Rechenschaft Gezogen Werden","پاسخگو باشند","أن يكون مسؤولا"
"Be Helpless","Be Helpless","Estar Indefenso","Hilflos Sein","درمانده باشی","كن عاجزًا"
"Be Hesitant","Be Hesitant","Ser Vacilante",Zögern,"مردد بودن","كن متردداً"
"Be Hired","Be Hired","Ser Contratado","Eingestellt Werden","استخدام شدن","يتم تعيينه"
"Be Hit","Be Hit","Ser Golpeado","Getroffen Werden","ضربه خورده باشد","أن تُضرب"
"Be Honest","Be Honest","Sé Honesto","Sei Ehrlich","صادق باشید","كن صادقا"
"Be Horny","Be Horny","Estar Cachondo","Geil Sein","شهوتی باش","كن شهوانيًا"
"Be Hospitalized","Be Hospitalized","Ser Hospitalizado","Ins Krankenhaus Eingeliefert Werden","بستری شدن در بیمارستان","دخول المستشفى"
"Be Hostile","Be Hostile","Ser Hostil","Feindselig Sein","خصمانه باشد","كن عدائيًا"
"Be Humble","Be Humble","Sé Humilde","Sei Bescheiden","فروتن باشید","كن متواضعا"
"Be Humilated","Be Humilated","Ser Humillado","Gedemütigt Werden","تحقیر شدن",أُذلّ
"Be Humiliated","Be Humiliated","Ser Humillado","Gedemütigt Werden","تحقیر شدن",أُذلّ
"Be Imagined","Be Imagined","Ser Imaginado","Sich Vorstellen","تصور شود","يمكن تخيله"
"Be Imported","Be Imported","Ser Importado","Importiert Werden","وارداتی باشد","سيتم استيرادها"
"Be Imprisoned","Be Imprisoned","Ser Encarcelado","Inhaftiert Sein","زندانی شدن","أن يُسجن"
"Be In Charge","Be In Charge",Mandar,"Das Sagen Haben","مسئول بودن","كن مسؤولا"
"Be In Charge Of","Be In Charge Of","Estar Encargado De","Verantwortlich Sein Für","مسئول بودن","يكون مسؤولا عن"
"Be In Contact","Be In Contact","Estar En Contacto","In Kontakt Sein","در تماس باشید","كن على اتصال"
"Be In Demand","Be In Demand","Tener Demanda","Gefragt Sein","مورد تقاضا بودن","يكون مطلوبا"
"Be In Difficulty","Be In Difficulty","Estar En Dificultades","In Schwierigkeiten Sein","در سختی و دشواری بودن","يكون في صعوبة"
"Be In Disfavor","Be In Disfavor","Estar En Desgracia","In Ungnade Fallen","مورد بی مهری قرار گرفتن","يكون في حالة من عدم الرضا"
"Be In Doubt","Be In Doubt","Estar En Duda","Im Zweifel Sein","دچار شک و تردید بودن","كن في شك"
"Be In Minority","Be In Minority","Ser Minoría","In Der Minderheit Sein","در اقلیت بودن","أن تكون في الأقلية"
"Be In Progress","Be In Progress","Estar En Progreso","In Arbeit Sein","در حال انجام باشد","كن في التقدم"
"Be in Touch with us","Be in Touch with us","Manténgase en contacto con nosotros.","Kontaktieren Sie uns","با ما در تماس باشید","اتصل بنا"
"Be Incarnated","Be Incarnated",Encarnarse,"Inkarniert Werden","مجسم شدن",تجسد
"Be Inclined","Be Inclined","Estar Inclinado","Geneigt Sein","متمایل بودن",يميل
"Be Incompatible","Be Incompatible","Ser Incompatible","Inkompatibel Sein","ناسازگار بودن","تكون غير متوافقة"
"Be Indebted","Be Indebted","Estar Endeudado","Verschuldet Sein","بدهکار بودن","يكون مدينًا"
"Be Indebted To","Be Indebted To","Estar En Deuda Con","Zu Dank Verpflichtet Sein","مدیون بودن به","أن تكون مدينًا لـ"
"Be Indicted","Be Indicted","Ser Acusado","Angeklagt Werden","متهم شدن","يتم توجيه الاتهام إليه"
"Be Indolent","Be Indolent","Ser Indolente","Träge Sein","تنبل بودن","كن كسولًا"
"Be Infected","Be Infected","Estar Infectado","Infiziert Sein","مبتلا شدن",يصاب
"Be Inflamed","Be Inflamed","Estar Inflamado","Entzündet Sein","ملتهب بودن","تكون ملتهبة"
"Be Informed","Be Informed","Estar Informado","Informiert Sein","مطلع باشید","كن على علم"
"Be Injected","Be Injected","Ser Inyectado","Injiziert Werden","تزریق شود","يتم حقنه"
"Be Injured","Be Injured","Estar Herido","Verletzt Sein","زخمی شدن","أن يكون مصابًا"
"Be Inquisitive","Be Inquisitive","Ser Curioso","Seien Sie Neugierig","کنجکاو باشید","كن فضوليًا"
"Be Inserted","Be Inserted","Ser Insertado","Eingefügt Werden","درج شود","يتم إدراجها"
"Be Inspired","Be Inspired",Inspírate,"Lassen Sie Sich Inspirieren","الهام گرفته شود","كن مستوحى"
"Be Institutionalized","Be Institutionalized","Ser Institucionalizado","Institutionalisiert Werden","نهادینه شود","أن تكون مؤسسية"
"Be Interrupted","Be Interrupted","Ser Interrumpido","Unterbrochen Werden","قطع شدن",انقطع
"Be Intesified","Be Intesified",Intensificarse,"Intensiviert Werden","تشدید شدن","تكون مكثفة"
"Be Introduced","Be Introduced","Ser Introducido","Eingeführt Werden","معرفی شود","يتم تقديمه"
"Be Investigated","Be Investigated","Ser Investigado","Untersucht Werden","مورد بررسی قرار گیرد","سيتم التحقيق"
"Be Invited","Be Invited","Ser Invitado","Eingeladen Werden","دعوت شدن","أن تكون مدعوًا"
"Be Involved","Be Involved","Estar Involucrado","Beteiligt Sein","درگیر بودن","كن متورطًا"
"Be Irrigated","Be Irrigated","Ser Regado","Bewässert Werden","آبیاری شود","يتم ريها"
"Be Judged","Be Judged","Ser Juzgado","Beurteilt Werden","قضاوت شدن","أن يُحكم عليه"
"Be Kept","Be Kept","Ser Mantenido","Gehalten Werden","نگه داشته شود","يجب الاحتفاظ بها"
"Be Killed","Be Killed","Ser Asesinado","Getötet Werden","کشته شدن","أن يُقتل"
"Be Kind","Be Kind","Sé Amable","Freundlich Sein","مهربان باش","كن لطيفًا"
"Be Late","Be Late","Llegar Tarde","Zu Spät Kommen","دیر شود",تأخر
"Be Left","Be Left","Ser Dejado","Verlassen Werden","رها شده باشد",ترك
"Be Left Behind","Be Left Behind","Quedarse Atrás","Zurückgelassen Werden","جا مانده باشی","ترك خلفك"
"Be Likely","Be Likely","Ser Probable","Wahrscheinlich Sein","محتمل باشد","من المرجح"
"Be Limited","Be Limited","Ser Limitado","Begrenzt Sein","محدود باشد","كن محدودا"
"Be Lined","Be Lined","Estar Alineado","Gefüttert Sein","اندود شده باشد","تكون مبطنة"
"Be Lost","Be Lost",Perderse,"Verloren Gehen","گم شدن",ضاع
"Be Loyal","Be Loyal","Ser Leal","Sei Loyal","وفادار باشید","كن مخلصًا"
"Be Lubber","Be Lubber","Ser Patán","Sei Ein Trottel","تنبل بودن","كن أكثر دهاءً"
"Be Made","Be Made",Hacerse,"Gemacht Werden","ساخته شود","يتم صنعه"
"Be Mentioned","Be Mentioned","Ser Mencionado","Erwähnt Werden","ذکر شود","أن يتم ذكره"
"Be Mineralized","Be Mineralized","Estar Mineralizado","Mineralisiert Sein","معدنی شده باشد","تكون معدنية"
"Be Mixed","Be Mixed","Ser Mixto","Gemischt Werden","مختلط باشد","تكون مختلطة"
"Be Mocked","Be Mocked","Ser Burlado","Verspottet Werden","مورد تمسخر قرار گرفتن","أن يتم السخرية منه"
"Be Moderate","Be Moderate","Ser Moderado","Maß Halten","میانه رو باشید","كن معتدلاً"
"Be Monitored","Be Monitored","Ser Monitoreado","Überwacht Werden","تحت نظر قرار گیرد","يجب مراقبتها"
"Be Name","Be Name","Ser Nombre","Sein Name","نام باش","كن اسما"
"Be Named","Be Named","Ser Nombrado","Genannt Werden","نامگذاری شود","يتم تسميته"
"Be Naughty","Be Naughty","Ser Travieso","Unartig Sein","شیطنت کن","كن شقيًا"
"Be Necessary","Be Necessary","Ser Menester","Notwendig Sein","ضروری باشد","يكون ضروريا"
"Be Neglected","Be Neglected","Ser Descuidado","Vernachlässigt Werden","مورد غفلت قرار گرفتن","يتم إهمالها"
"Be Negotiated","Be Negotiated","Ser Negociado","Ausgehandelt Werden","مذاکره شود","سيتم التفاوض عليها"
"Be Noble Born","Be Noble Born","Ser De Noble Cuna","Von Edlem Geblüt Sein","نجیب زاده بودن","كن نبيلًا بالولادة"
"Be Noticed","Be Noticed","Ser Notado","Bemerkt Werden","مورد توجه قرار گرفتن","كن ملاحظًا"
"Be Noxious","Be Noxious","Ser Nocivo","Schädlich Sein","مضر باشد","تكون ضارة"
"Be Obligated","Be Obligated","Estar Obligado","Verpflichtet Sein","موظف بودن","أن تكون ملزما"
"Be Obliged","Be Obliged","Estar Obligado","Verpflichtet Sein","موظف بودن","أن تكون ملزما"
"Be Obstinate","Be Obstinate",Obstinarse,"Stur Sein","سرسخت باشید","كن عنيدًا"
"Be Obtained","Be Obtained",Obtenerse,"Erhalten Werden","به دست آید.","يمكن الحصول عليها"
"Be Offered","Be Offered","Ser Ofrecido","Angeboten Werden","ارائه شود","سيتم تقديمها"
"Be Old","Be Old","Ser Viejo","Alt Sein","پیر باش.","كن عجوزًا"
"Be On Diet","Be On Diet","Estar A Dieta","Auf Diät Sein","رژیم غذایی داشته باشید","كن على نظام غذائي"
"Be On Display","Be On Display","Estar En Exhibición","Ausgestellt Sein","در معرض نمایش قرار گرفتن","كن على العرض"
"Be On The Alert","Be On The Alert","Estar Ojo Alerta","Auf Der Hut Sein","در حالت آماده باش باشید","كن في حالة تأهب"
"Be Opened","Be Opened","Ser Abierto","Geöffnet Werden","باز شود","يتم فتحه"
"Be Optimistic","Be Optimistic","Ser Optimista","Sei Optimistisch","خوشبین باشید","كن متفائلا"
"Be Organized","Be Organized",Organizar,"Organisiert Sein","منظم باشید","كن منظمًا"
"Be Ostentatious","Be Ostentatious","Ser Ostentoso","Protzig Sein","متظاهر باشید","كن متباهيا"
"Be Overambitious","Be Overambitious","Ser Demasiado Ambicioso","Überambitioniert Sein","بیش از حد جاه طلب بودن","كن طموحًا للغاية"
"Be Overturned","Be Overturned","Ser Revocado","Umgeworfen Werden","واژگون شدن",انقلبت
"Be Paid","Be Paid","Ser Pagado","Bezahlt Werden","پرداخت شود","يتم الدفع"
"Be Painted","Be Painted","Ser Pintado","Bemalt Werden","نقاشی شده باشد","يتم رسمها"
"Be Passed","Be Passed","Ser Pasado","Bestanden Werden","تصویب شود","يتم تمريرها"
"Be Passionate","Be Passionate","Ser Apasionado","Sei Leidenschaftlich","پرشور باشید","كن عاطفيًا"
"Be Perform","Be Perform","Ser Realizado",Durchführen,"اجرا شود","كن يؤدي"
"Be Personified","Be Personified","Ser Personificado","Personifiziert Werden","شخصیت پردازی شدن",تجسيد
"Be Placed","Be Placed",Colocarse,"Platziert Werden","قرار داده شود","يتم وضعها"
"Be Planted","Be Planted","Ser Plantado","Gepflanzt Werden","کاشته شود","أن تُزرع"
"Be Plundered","Be Plundered","Ser Saqueado","Geplündert Werden","غارت شدن",نهب
"Be Pointed Out","Be Pointed Out","Ser Señalado","Darauf Hingewiesen Werden","مورد اشاره قرار گیرد","يجب الإشارة إليه"
"Be Poisoned","Be Poisoned","Ser Envenenado","Vergiftet Werden","مسموم شدن","أن تكون مسمومة"
"Be Polluted","Be Polluted","Estar Contaminado","Verschmutzt Sein","آلوده بودن","تكون ملوثة"
"Be Porter","Be Porter","Ser Portero","Träger Sein","باربر باش","كن حمالًا"
"Be Possible","Be Possible","Ser Posible","Möglich Sein","ممکن باشد","يكون ممكنا"
"Be Postponed","Be Postponed","Ser Pospuesto","Verschoben Werden","به تعویق بیفتد","سيتم تأجيله"
"Be Predicted","Be Predicted","Ser Predicho","Vorhergesagt Werden","پیش بینی شده باشد","يمكن التنبؤ بها"
"Be Pregnant","Be Pregnant","Estar Embarazada","Schwanger Sein","باردار باشید","أن تكون حاملاً"
"Be Prepared","Be Prepared","Estar Listo","Sei Vorbereitet","آماده باشید","كن مستعدا"
"Be Prescribed","Be Prescribed","Ser Prescrito","Verschrieben Werden","تجویز شود","يجب وصفه"
"Be Present","Be Present",Estar,Sein,"حضور داشته باشید","كن حاضرا"
"Be Presented","Be Presented","Ser Presentado","Präsentiert Werden","ارائه شود","يتم تقديمه"
"Be Prevalent","Be Prevalent","Ser Frecuente","Vorherrschend Sein","شایع بودن","تكون سائدة"
"Be Prevented","Be Prevented","Ser Prevenido","Verhindert Werden","جلوگیری شود",منعها
"Be Printed","Be Printed","Ser Impreso","Gedruckt Werden","چاپ شود","سيتم طباعتها"
"Be Produced","Be Produced","Ser Producido","Hergestellt Werden","تولید شود","يتم إنتاجها"
"Be Profitable","Be Profitable","Ser Rentable","Profitabel Sein","سودآور باشید","أن تكون مربحة"
"Be Promoted","Be Promoted","Ser Promovido","Gefördert Werden","ترفیع بگیرید","يتم ترقيته"
"Be Prostitute","Be Prostitute","Ser Prostituta","Eine Prostituierte Sein","فاحشه بودن","كن عاهرة"
"Be Proud Of","Be Proud Of","Enorgullecerse De","Stolz Sein Auf","افتخار کردن به","كن فخورا ب"
"Be Proved","Be Proved","Ser Probado","Bewiesen Werden","اثبات شود",ثبت
"Be Proven","Be Proven","Ser Probado","Bewiesen Werden","اثبات شود",ثبت
"Be Provided","Be Provided","Ser Proporcionado","Bereitgestellt Werden","ارائه شود","سيتم توفيرها"
"Be Published","Be Published",Publicarse,"Veröffentlicht Werden","منتشر شود","سيتم نشرها"
"Be Punished","Be Punished","Ser Castigado","Bestraft Werden","مجازات شود","سيتم معاقبته"
"Be Purchased","Be Purchased","Ser Comprado","Gekauft Werden","خریداری شود","سيتم شراؤها"
"Be Put","Be Put","Ser Puesto","Gestellt Werden","قرار داده شود",ضع
"Be Put Down","Be Put Down","Ser Sacrificado","Niedergelegt Werden","زمین گیر شدن","يتم وضعه"
"Be Put In Order","Be Put In Order","Ponerse En Orden","In Ordnung Gebracht Werden","مرتب و منظم شود","يتم ترتيبها"
"Be Put Into Effect","Be Put Into Effect","Ponerse En Práctica","In Kraft Gesetzt Werden","به مرحله اجرا گذاشته شود","يتم تنفيذها"
"Be Put Under Treatment","Be Put Under Treatment","Ser Sometido A Tratamiento","In Behandlung Kommen","تحت درمان قرار گرفتن","وضع تحت العلاج"
"Be Quick","Be Quick",Abreviar,"Sei Schnell","سریع باش","كن سريعا"
"Be Ready","Be Ready","Estar Preparado","Bereit Sein","آماده باش","كن مستعدا"
"Be Received","Be Received","Ser Recibido","Empfangen Werden","دریافت شود","يتم استلامها"
"Be Recieved","Be Recieved","Ser Recibido","Empfangen Werden","دریافت شود","يتم استلامها"
"Be Recommended","Be Recommended","Ser Recomendado","Empfohlen Werden","توصیه شود","يوصى به"
"Be Recorded","Be Recorded","Ser Grabado","Aufgezeichnet Werden","ثبت شود","يتم تسجيلها"
"Be Recycled","Be Recycled","Ser Reciclado","Recycelt Werden","بازیافت شود","يمكن إعادة تدويرها"
"Be Reduced","Be Reduced","Ser Reducido","Reduziert Werden","کاهش یابد","يتم تخفيضها"
"Be Referred","Be Referred","Ser Referido","Verwiesen Werden","ارجاع داده شود","يتم إحالته"
"Be Refused","Be Refused","Ser Rechazado","Abgelehnt Werden","رد شود","يتم رفضه"
"Be Regarded As","Be Regarded As","Ser Considerado Como","Angesehen Werden Als","به عنوان در نظر گرفته شود","يعتبر بمثابة"
"Be Rejected","Be Rejected","Ser Rechazado","Abgelehnt Werden","رد شدن","يتم رفضه"
"Be Related","Be Related",Relacionarse,"Verwandt Sein","مرتبط بودن","تكون ذات صلة"
"Be Relaxed","Be Relaxed","Estar Relajado","Entspannt Sein","ریلکس باش","كن مسترخيا"
"Be Released","Be Released","Ser Liberado","Freigelassen Werden","آزاد شود","سيتم إطلاق سراحه"
"Be Relieved","Be Relieved","Estar Aliviado","Erleichtert Sein","آسوده خاطر شدن","كن مرتاحًا"
"Be Religious","Be Religious","Ser Religioso","Religiös Sein","مذهبی باشید","كن متدينًا"
"Be Reluctant","Be Reluctant","Ser Reacio",Zögern,"بی میل بودن","كن متردد"
"Be Repaired","Be Repaired","Ser Reparado","Repariert Werden","تعمیر شود","سيتم إصلاحه"
"Be Reported","Be Reported","Ser Reportado","Gemeldet Werden","گزارش شود","سيتم الإبلاغ عنها"
"Be Required","Be Required","Ser Requerido","Erforderlich Sein","مورد نیاز باشد","تكون مطلوبة"
"Be Responsible","Be Responsible","Ser Responsable","Verantwortlich Sein","مسئولیت پذیر باشید","كن مسؤولا"
"Be Restless","Be Restless","Estar Inquieto","Unruhig Sein","بی قرار باش","كن قلقا"
"Be Revealed","Be Revealed","Ser Revelado","Enthüllt Werden","آشکار شود","أن يتم الكشف عنها"
"Be Reversed","Be Reversed","Ser Revertido","Umgekehrt Werden","معکوس شود",انعكس
"Be Revoked","Be Revoked","Ser Revocado","Widerrufen Werden","لغو شود","سيتم إلغاؤه"
"Be Rude","Be Rude","Ser Grosero","Unhöflich Sein","بی ادب باش","كن وقحًا"
"Be Ruined","Be Ruined","Estar Arruinado","Ruiniert Werden","خراب شدن","أن تكون مدمرة"
"Be Rumored","Be Rumored","Se Rumorea",Munkeln,"شایعه شده باشد",يشاع
"Be Satisfied","Be Satisfied",Contentarse,"Zufrieden Sein","راضی باش","كن راضيا"
"Be Satisfied With","Be Satisfied With","Estar Satisfecho Con","Zufrieden Sein Mit","راضی بودن از","كن راضيا عن"
"Be Save","Be Save","Estar A Salvo","Sicher Sein","ذخیره شود","كن آمنا"
"Be Saved","Be Saved","Ser Salvo","Gerettet Werden","نجات پیدا کردن","أن يتم إنقاذه"
"Be Scared To Death","Be Scared To Death","Estar Muerto De Miedo","Zu Tode Erschrocken Sein","از مرگ بترسید","كن خائفا حتى الموت"
"Be Scattered","Be Scattered",Esparcirse,"Verstreut Sein","پراکنده بودن","تكون متناثرة"
"Be Second To None","Be Second To None","No Ir A La Zaga","Unübertroffen Sein","بی رقیب باشید","لا مثيل له"
"Be Seen","Be Seen","Ser Visto","Gesehen Werden","دیده شدن","أن يُرى"
"Be Selected","Be Selected","Ser Seleccionado","Ausgewählt Werden","انتخاب شدن","يتم اختياره"
"Be Sensitive","Be Sensitive","Ser Sensible","Sei Sensibel","حساس باشید","كن حساسًا"
"Be Sensual","Be Sensual","Ser Sensual","Sinnlich Sein","شهوانی باشید","كن حسيًا"
"Be Sent","Be Sent","Ser Enviado","Gesendet Werden","ارسال شود","سيتم إرسالها"
"Be Separated","Be Separated","Estar Separados","Getrennt Sein","جدا شدن",انفصل
"Be Set","Be Set","Estar Listo","Eingestellt Werden","تنظیم شود","يتم ضبطه"
"Be Shot","Be Shot","Ser Fusilado","Erschossen Werden","تیرباران شدن","يتم إطلاق النار عليه"
"Be Shut Down","Be Shut Down","Ser Cerrado","Heruntergefahren Werden","تعطیل شود.","سيتم إغلاقه"
"Be Shy","Be Shy","Ser Tímido","Schüchtern Sein","خجالتی باشید","كن خجولا"
"Be Signed","Be Signed","Estar Firmado","Unterschrieben Werden","امضا شود","يتم التوقيع"
"Be Similar","Be Similar","Ser Similar","Ähnlich Sein","شبیه هم باشند","تكون مماثلة"
"Be Social","Be Social","Ser Social","Sei Sozial","اجتماعی باشید","كن اجتماعيًا"
"Be Sold","Be Sold","Ser Vendido","Verkauft Werden","فروخته شود","سيتم بيعها"
"Be Sorry","Be Sorry",Sentir,"Es Tut Mir Leid","متاسف باش","كن آسفًا"
"Be Special","Be Special","Ser Especial","Sei Etwas Besonderes","خاص باشید","كن مميزا"
"Be Spent","Be Spent","Ser Gastado","Ausgegeben Werden","خرج شدن","يتم إنفاقها"
"Be Spoiled","Be Spoiled","Ser Mimado","Verwöhnt Werden","خراب شده باشد","أن تكون مدللة"
"Be Spread","Be Spread","Ser Propagado","Verbreitet Werden","پخش شدن",انتشر
"Be Startled","Be Startled",Sobresaltarse,Aufschrecken,"مبهوت شدن",اندهش
"Be Stingy","Be Stingy","Ser Tacaño","Geizig Sein","خسیس باش","كن بخيلاً"
"Be Stocked","Be Stocked","Estar Abastecido","Bestückt Sein","موجودی داشته باشد","يتم تخزينها"
"Be Stolen","Be Stolen","Ser Robado","Gestohlen Werden","دزدیده شدن","أن تكون مسروقة"
"Be Stopped","Be Stopped","Ser Detenido","Gestoppt Werden","متوقف شود",توقف
"Be Stored","Be Stored","Ser Almacenado","Gespeichert Werden","ذخیره شود","سيتم تخزينها"
"Be Strengthened","Be Strengthened",Fortificarse,"Gestärkt Werden","تقویت شود","يتم تعزيزها"
"Be Struck","Be Struck","Ser Golpeado","Getroffen Werden","زده شدن","أن تُضرب"
"Be Stubborn","Be Stubborn",Entecarse,"Stur Sein","سرسخت باشید","كن عنيدًا"
"Be Subdued","Be Subdued","Ser Sometido","Gedämpft Sein","مطیع بودن","كن خاضعًا"
"Be Subtracted","Be Subtracted","Ser Restado","Abgezogen Werden","کسر شود","يتم طرحه"
"Be Summarized","Be Summarized",Resumirse,"Zusammengefasst Werden","خلاصه شود","يمكن تلخيصها"
"Be Supported","Be Supported","Ser Apoyado","Unterstützt Werden","حمایت شود","كن مدعومًا"
"Be Supposed To","Be Supposed To","Creerse Que Va A",Soll,"قرار باشد","من المفترض أن"
"Be Suprised","Be Suprised",Sorpréndete,"Sei Überrascht","شگفت زده شدن",تفاجأ
"Be Surprised","Be Surprised","Quedar Asombrado","Lassen Sie Sich Überraschen","شگفت زده شدن",تفاجأ
"Be Surrounded","Be Surrounded","Estar Rodeado","Umgeben Sein","احاطه شده باشد","أن تكون محاطًا"
"Be Surveyed","Be Surveyed","Ser Encuestado","Befragt Werden","مورد نظرسنجی قرار گیرد","يتم مسحها"
"Be Suspected","Be Suspected","Ser Sospechoso","Verdächtigt Werden","مشکوک بودن","يُشتبه به"
"Be Suspended","Be Suspended","Ser Suspendido","Suspendiert Werden","تعلیق شود","سيتم تعليقه"
"Be Suspicious","Be Suspicious","Ser Sospechoso","Misstrauisch Sein","مشکوک بودن","كن مشبوهًا"
"Be Taken","Be Taken","Ser Tomado","Genommen Werden","گرفته شود",تؤخذ
"Be Taken Care Of","Be Taken Care Of","Ser Atendido","Versorgt Sein","مورد مراقبت قرار گیرد","يجب الاعتناء به"
"Be Talkative","Be Talkative","Ser Hablador","Gesprächig Sein","پرحرف باشید","كن ثرثارًا"
"Be Tampered With","Be Tampered With","Ser Manipulado","Manipuliert Werden","دستکاری شده باشد","يتم العبث بها"
"Be Targeted","Be Targeted","Ser El Objetivo","Gezielt Sein","هدفمند بودن","أن تكون مستهدفة"
"Be Tasteless","Be Tasteless","Ser De Mal Gusto","Geschmacklos Sein","بی مزه بودن","يكون عديم الذوق"
"Be Thirsty","Be Thirsty","Tener Sed","Durst Haben","تشنه باشی","كن عطشانًا"
"Be Thrown","Be Thrown","Ser Arrojado","Geworfen Werden","پرتاب شدن","يتم إلقاؤه"
"Be Thrown Away","Be Thrown Away","Ser Desechado","Weggeworfen Werden","دور انداخته شود","يتم التخلص منها"
"Be Tickled","Be Tickled","Ser Cosquilleado","Gekitzelt Werden","قلقلک داده شدن",دغدغت
"Be Torn","Be Torn","Estar Desgarrado","Zerrissen Sein","پاره پاره شدن",تمزق
"Be Touched","Be Touched","Ser Tocado","Berührt Werden","لمس شدن","أن تلمس"
"Be Traded","Be Traded","Ser Comercializados","Gehandelt Werden","معامله شود","يتم تداولها"
"Be Tranformed","Be Tranformed","Ser Transformado","Transformiert Werden","دگرگون شدن","أن تتحول"
"Be Transported","Be Transported","Ser Transportado","Transportiert Werden","حمل و نقل شود","يتم نقلها"
"Be Treated","Be Treated","Ser Tratado","Behandelt Werden","درمان شود","يتم علاجه"
"Be Tried","Be Tried","Ser Probado","Versucht Werden","محاکمه شود","أن تتم محاكمته"
"Be Trustee","Be Trustee","Ser Fideicomisario","Treuhänder Sein","امانت دار باشید","كن أمينًا"
"Be Trustworthy","Be Trustworthy","Ser Confiable","Vertrauenswürdig Sein","قابل اعتماد باشید","كن جديرًا بالثقة"
"Be Turbulent","Be Turbulent","Ser Turbulento","Turbulent Sein","آشفته بودن","كن مضطربًا"
"Be Turned","Be Turned","Ser Girado","Gedreht Werden","تبدیل شده باشد","يتم تحويله"
"Be Turned On","Be Turned On","Estar Encendido","Eingeschaltet Sein","روشن بودن","يتم تشغيله"
"Be Understood","Be Understood",Entenderse,"Verstanden Werden","قابل درک باشد","أن تكون مفهومة"
"Be Unfashionable","Be Unfashionable","Estar Pasado De Moda","Unmodern Sein","از مد افتاده نباش","كن غير عصري"
"Be United","Be United","Estar Unidos","Vereint Sein","متحد باشید","كن متحدًا"
"Be Unjust","Be Unjust","Ser Injusto","Ungerecht Sein","ناعادلانه باشد","كن ظالما"
"Be Unlikely","Be Unlikely","Ser Poco Probable","Unwahrscheinlich Sein","بعید باشد","من غير المحتمل"
"Be Unveiled","Be Unveiled","Ser Desvelado","Enthüllt Werden","رونمایی شود","سيتم الكشف عنها"
"Be Used","Be Used",Utilizarse,"Verwendet Werden","مورد استفاده قرار گیرد","يمكن استخدامها"
"Be Useful","Be Useful","Ser Útil","Nützlich Sein","مفید باشید","كن مفيدًا"
"Be Versified","Be Versified","Ser Versificado","In Verse Zerlegt Werden","سروده شده باشد","كن متقنًا"
"Be Waiting","Be Waiting","Estar Esperando",Warte,"منتظر باش.","كن في انتظار"
"Be Weakened","Be Weakened",Debilitarse,"Geschwächt Werden","ضعیف شدن",ضعفت
"Be Whipped","Be Whipped","Ser Azotado","Ausgepeitscht Werden","شلاق خورده باشد",جلد
"Be Willing","Be Willing","Estar Dispuesto","Bereit Sein","مایل باشید","كن على استعداد"
"Be Wounded","Be Wounded","Ser Herido","Verwundet Sein","زخمی شدن","أن يكون جريحًا"
"Be Written","Be Written","Ser Escrito","Geschrieben Werden","نوشته شود","أن تكون مكتوبة"
Beacause,Beacause,Porque,Weil,زیرا,لأن
Beach,Beach,Playa,Strand,ساحل,شاطئ
Beaches,Beaches,Playas,Strände,سواحل,الشواطئ
Beacon,Beacon,Faro,Leuchtfeuer,"چراغ دریایی",منارة
Bead,Bead,Talón,Korn,مهره,حبة
Beading,Beading,Cuentas,Perlen,"مهره دوزی",خرز
