en,fa
The user with these email or username could not register!,کاربر با این ایمیل یا نام کاربری نتوانست ثبت نام کند!
The username is incorrect!,نام کاربری اشتباه است!
The username or password is incorrect!,نام کاربری یا رمز عبور اشتباه است!
"The website full logo path
",مسیر کامل لوگوی وب سایت
"The website full name
",نام کامل وب سایت
"The website full owner and full name
",نام کامل مالک وب سایت
"The website main banner path
",مسیر بنر اصلی وب سایت
"The website main logo path
",مسیر لوگوی اصلی وب سایت
"The website name
",نام وب سایت
"The website owner full name
",نام کامل صاحب وب سایت
"The website owner name
",نام صاحب وب سایت
There a problem is occured!,مشکلی رخ داده است!
There a problem occured!,مشکلی پیش آمد!
There could not find any drafts!,هیچ سند‌ای پیدا نشد!
There had some changes in this draft!,این سند تغییراتی داشت!
There is not received any changes!,هیچ تغییری دریافت نشده است!
There made some recycles in this draft!,این سند حاوی مقداری بازیافت است!
This account is not active yet!<0><1>Try to send the activation email again!<2>,این حساب هنوز فعال نیست!<0><1>دوباره ایمیل فعال سازی را ارسال کنید!<2>
This unit is effective on timing and working or not!,این واحد در زمان بندی و کارکردن موثر است یا خیر!
Th,پ
Time,زمان
Time (<0>),زمان (<0>)
Time (m),زمان (دقیقه)
Time  M,زمان دقیقه
Time of Goods Used in this Vocation (m),زمان کالا استفاده‌شده از این ماموریت (دقیقه)
Time of Products Used this Tool (m),زمان محصولات استفاده‌شده از این ابزار (دقیقه)
Time of this Tool (m),زمان این ابزار (دقیقه)
Time of this Vocation (m),زمان این ماموریت (دقیقه)
Time of Used (m),زمان استفاده (دقیقه)
Time Of Used  M,زمان استفاده دقیقه
Time of Works (m),زمان انجام کار (دقیقه)
Time Of Works  M,زمان کار دقیقه
Time Sequences,توالی - زمان
Time Threshold,آستانه زمانی
Time Unit,واحد زمان
Title,عنوان
"to manage day-to-day business activities such as accounting, procurement, project management, risk management and compliance, and supply chain operations.","برای مدیریت فعالیت‌های تجاری روزمره مانند حسابداری، تدارکات، مدیریت پروژه، مدیریت ریسک و انطباق، و عملیات زنجیره تامین."
To see the details of this Draft!,دیدن جزئیات این سند!
To send this draft to next step!,ارسال این سند به مرحله بعد!
To set some changes on this draft!,تنظیم برخی تغییرات در این سند!
To set this draft as damaged!,تنظیم این سند به عنوان آسیب‌دیده!
To set this draft as damaged by person!,تنظیم این سند به عنوان آسیب‌دیده بدلیل اشکال در  شخص!
To set this draft as damaged by product!,تنظیم این سند به عنوان آسیب‌دیده بدلیل اشکال در  محصول!
To set this draft as damaged by tool!,تنظیم این سند به عنوان آسیب‌دیده بدلیل اشکال در ابزار!
To set this draft as damaged by unit!,تنظیم این سند به عنوان آسیب‌دیده بدلیل اشکال در  واحد!
To set this draft as damaged!,تنظیم این سند به عنوان آسیب‌دیده!
To Time,تا تاریخ
TOOLS,ابزارها
Tools Count,ابزار - تعداد
Tools Management,مدیریت ابزارها
Tools Report,گزارش ابزار
Tools Status,وضعیت ابزارها
Tools Time,ابزار - زمان
Tools Weight,ابزار - وزن
Total,کل
TRACE,ردیابی
Trace Managers,ردیابی مدیران
Transfer,انتقال
Transfer <0><1>,انتقال <0><1>
Transfering,درحال انتقال
Translation,ترجمه
TRANSLATIONS,ترجمه‌ها
Try to send the activation email again!,سعی کنید دوباره ایمیل فعال سازی را ارسال کنید!
Trying to change the profile picture!,تلاش برای تغییر عکس پروفایل!
Tu,س
TUTORIAL,آموزش
Tutorial - GMS,آموزش - GMS
Type,نوع
Undifined,تعریف نشده
"Unfortunately, you have no access to the site now!<0>Please try a few minutes later...","متأسفانه، در حال حاضر به سامانه دسترسی ندارید!<0>لطفا مدتی بعد مجدد تلاش فرمایید..."
"Unfortunately, you received a <0> mark due to the this work!","متأسفانه به دلیل این کار، <0> امتیاز منفی دریافت کردید!"
"Unfortunately, you received a <0> mark due to the this work!
Here added <1> marks to each person of your units.","متأسفانه به دلیل این کار شما  <0> امتیاز منفی دریافت کردید!
همچنین <1> امتیاز منفی به هر فرد در واحدهای شما اضافه‌شده است."
Unit,واحد
Unit Effect,موثر در همکاران
Unit Management System,سیستم مدیریت واحد
UnitName,نام واحد
UNITS,واحدها
Units Management,مدیریت واحدها
Units Personnel,واحد - اشخاص
Units Quality Control - GMS,کنترل کیفیت واحدها - GMS
Units Rate,واحد - رتبه
Units Report,گزارش واحدها
Units Score,واحد - نمره
Units Users,شخص - واحد
Unspecified,نامشخص
Update,به‌روزرسانی
Update <0><1>,تغییر <0><1>
Update Time,زمان به‌روزرسانی
UpdateTime,ویرایش‌شده در
Used Count,تعداد استفاده‌شده
Used Count (%),تعداد استفاده‌شده (%)
Used Time,زمان استفاده‌شده
Used Time (%),زمان استفاده‌شده (%)
Used Tools,ابزارهای مورداستفاده
Used Vocations,ماموریت‌های مورداستفاده
Used Weight,وزن استفاده‌شده
Used Weight (%),وزن استفاده‌شده (%)
User Name,نام کاربری
UserId,شناسه کاربر
UserName,نام کاربری
USERS,اشخاص
Users Management,مدیریت اشخاص
Users Rate,شخص - رتبه
Personnel Report,گزارش اشخاص
Users Score,شخص - نمره
Value Options,گزینه‌های ترجمه
ValueOptions,گزینه‌های ترجمه
View,چشم‌انداز
View Lexicon,نمایش لغتنامه
Visit,مشاهده
Visit Card,کارت ویزیت
VOCATIONS,ماموریت‌ها
Vocations Count,ماموریت‌ها - تعداد
Vocations Management,مدیریت ماموریتها
Vocations Report,گزارش ماموریت‌ها
Vocations Status,وضعیت ماموریت‌ها
Vocations Time,ماموریت - زمان
Vocations Weight,ماموریت - وزن
Wait Symbol Path,مسیر نماد انتظار
Watch,تماشا
We,چ
Weight,وزن
Weight (<0>),وزن (<0>)
Weight (g),وزن (گرم)
Weight Down Tolerance,آستانه کاهش وزن
Weight  G,وزن به گرم
Weight of changed (<0>)!,وزن تغییر کرده (<0>)!
Weight of damaged work (<0>)!,وزن کار آسیب‌دیده (<0>)!
Weight of Draft (<0>)!,وزن سند ارسالی (<0>)
Weight of Goods Used in this Vocation (g)!,وزن کالا‌های استفاده‌شده در این ماموریت (گرم)
Weight of Goods Used this Vocation (g),وزن کالا‌ها استفاده‌شده از این ماموریت‌ (گرم)
Weight of Products Used this Tool (g),وزن محصولات استفاده‌شده از این ابزار (گرم)
Weight of Products Used this Tool (g)!,وزن محصولات استفاده‌شده از این ابزار (گرم)
Weight of this Tool (g),وزن این ابزار (گرم)
Weight of this Tool (g)!,وزن این ابزار (گرم)
Weight of this Vocation (g),وزن این ماموریت‌ (گرم)
Weight of this Vocation (g)!,وزن این ماموریت (گرم)
Weight of this Work (<0>),وزن کل این سند (<0>)
Weight of Used (g),وزن استفاده‌شده (گرم)
Weight of Used (g)!,وزن استفاده‌شده (گرم)
Weight Of Used  G,وزن استفاده‌شده به گرم
Weight of Works (g),وزن کارها (گرم)
Weight of Works (g)!,وزن کارها (گرم)
Weight Of Works  G,وزن کارها به گرم
Weight Precision,دقت وزن
Weight Sequences,توالی - وزن
Weight Threshold,آستانه وزن
Weight Unit,واحد وزن
Weight Up Tolerance,آستانه افزایش وزن
Welding,جوشکاری
Work Impact,تاثیر کار
Work Max Tolerance,بیشترین میزان کار
Work Min Tolerance,کمترین میزان کار
Works Status,وضعیت کارها
X,اکس
X (Transexual),هردو
You are logged in!,شما وارد‌شده اید!
You do not have enough access to this action!,شما دسترسی کافی برای انجام این عملیات را ندارید!
You signed out successfully!,شما با موفقیت از سیستم خارج شدید!
"Your account will needs to activation, if change the field!","اگر این فیلد را تغییر دهید، حساب شما باید فعال شود!"
Your change draft for the <0> registered successfully!,سند تغییر شما برای <0> با موفقیت ثبت شد!
"Your full name, you will known by this around the site","نام کامل شما، شما را با این نام در سامانه می‌شناسند"
"Your organization, institute, company, etc.","سازمان، موسسه، شرکت و غیره"
Your request is not valid!,درخواست شما معتبر نیست!
Your Satisfaction is our Greatest Goal,رضایت شما بزرگترین هدف ماست
